price3rsiUSD,fee_to_reward3stdUSD,difficulty14var,transactions7var,price7rocUSD,price3trxUSD,size90roc,transactions3var,price3rocUSD,activeaddresses7trx,price30rocUSD,price7rsiUSD,size90mom,confirmationtime30sma,price3momUSD,size90sma,mediantransactionvalue14rocUSD,hashrate30mom,mediantransactionvalue14momUSD,price14rsiUSD,fee_to_rewardUSD,price7momUSD,hashrate14trx,price30rsiUSD,activeaddresses,mediantransactionvalueUSD,top100cap90rsi,fee_to_reward14emaUSD,priceUSD,transactionvalueUSD,size3sma,hashrate7std,confirmationtime14wma,median_transaction_feeUSD,confirmationtime3ema,confirmationtime,category
99.577,2.2,1.4310907678292e+20,1485967151.0,10.685,1.054,6.042999999999998,1557270939.0,2.38,0.227,14.191,91.003,53882.0,9.178,24.121,879662.0,10.046,4.36227236106163e+17,14.191,74.578,8.3,100.18,0.695,65.514,629062,155.455,42.86600000000001,6.972,1038.0,6502.0,960859.0,5.99831179212375e+17,9.575,0.322,9.985,9.536,1
99.716,0.909,1.7339439324194e+20,1036079633.0,8.265,1.071,19.466,1719886318.0,3.219,0.226,17.785999999999994,92.213,156592.0,9.153,32.714,881402.0,42.517,7.18608603697393e+17,56.24100000000001,75.998,7.931,80.089,0.649,66.339,594709,188.52,41.952,7.1,1049.0,6666.0,961921.0,5.58334449158067e+17,9.633,0.332,9.924,9.863,0
43.68899999999999,0.555,1.9497494808402e+20,1228314813.0,3.087,0.584,26.661,244302822.0,0.249,0.339,13.4,65.518,201218.0,9.138,2.529,883638.0,27.957,1.08753471291507e+18,33.616,65.734,7.621,30.53,0.627,62.334,641833,153.861,41.722,7.17,1020.0,9404.0,954197.0,4.63869516554911e+17,9.511,0.317,9.222,8.521,0
18.834,0.71,2.0785074130909e+20,1149199808.0,-3.531,-0.358,36.201,389253122.0,-6.216,0.297,15.401,42.854,257142.0,9.15,-64.509,886495.0,19.825,4.99222689685889e+17,27.148000000000003,53.542,7.072,-35.628,0.612,56.78100000000001,574235,164.08599999999996,41.849,7.157,973.244,8848.0,961485.0,3.44468993109969e+17,9.567,0.302,9.509,9.796,1
47.705,1.07,2.1202177291723e+20,1294888364.0,-1.028,-0.476,24.603,1172954878.0,-4.378,0.119,28.404,54.68600000000001,190262.0,9.217,-45.937,888609.0,13.362,3.37957994027943e+17,15.742,58.858,6.316,-10.42,0.584,59.213,546267,133.55700000000002,42.54,7.045,1003.0,5412.0,962329.0,3.49452480027531e+17,9.685,0.292,9.934,10.36,0
45.059,1.254,2.0748804290843e+20,1705450767.0,-1.625,-0.414,10.407,694604191.0,-1.928,-0.276,24.182,53.269,82231.0,9.239,-19.653,889523.0,26.256,4.35978426240789e+16,27.615,58.07100000000001,5.537000000000001,-16.522000000000002,0.5379999999999999,58.83600000000001,476601,132.789,42.594,6.8439999999999985,999.914,4018.0,934472.0,3.72363709328112e+17,9.784,0.271,10.11,10.286,0
39.781,0.725,1.9424955128266e+20,1165103755.0,-2.201,-0.374,6.561,425451464.0,2.2,-0.482,20.479,50.82100000000001,56051.0,9.255,21.41,890146.0,-1.061,5.98414238923755e+17,-1.821,56.76600000000001,6.294,-22.383000000000006,0.505,58.224,557770,169.78400000000005,41.479,6.77,994.654,5486.0,915445.0,3.77956061120976e+17,9.674,0.276,9.472,8.834,1
52.425,0.698,1.7230629803995e+20,1091969573.0,-3.387,-0.211,11.802,1027462355.0,-0.06,-0.479,22.847,54.51,93385.0,9.251,-0.603,891183.0,11.785,8.64253953282123e+17,18.263,58.292,6.26,-35.144,0.519,58.893,591792,173.233,41.603,6.702000000000001,1003.0,6123.0,889135.0,4.45987766790933e+17,9.534,0.287,8.996,8.521,1
58.33,0.838,1.4165828318031e+20,1060374877.0,-4.095,-0.043,4.641,130099908.0,0.628,-0.453,21.835,56.234,41689.0,9.313,6.276,891646.0,35.705,2.03705057806748e+17,46.522,58.994,7.166,-42.959,0.511,59.19600000000001,564627,176.81599999999997,41.19300000000001,6.7639999999999985,1006.0,5971.0,911678.0,4.62418411654375e+17,9.652,0.302,9.678,10.36,1
77.77199999999998,1.636,1.0230550670376e+20,572402670.0,0.337,0.257,4.457,173387402.0,2.8510000000000004,-0.436,17.160999999999998,63.76,41555.0,9.327,28.353,892108.0,11.203,4.45497876727152e+17,20.377,62.21,8.261000000000001,3.4410000000000003,0.4920000000000001,60.612,556662,202.26,41.726000000000006,6.964,1023.0,10824.0,932840.0,4.56806735505271e+17,9.633,0.341,9.607,9.536,1
87.884,0.959,5.4247968610175e+19,706570877.0,7.174,0.64,13.626,232757898.0,4.035,-0.28600000000000003,18.129,70.757,116201.0,9.325,40.454,893399.0,11.966,4.07492788308144e+17,19.097,65.668,8.08,69.819,0.466,62.228,605463,178.697,41.566,7.112,1043.0,8159.0,960954.0,4.55798478812518e+17,9.611,0.336,9.572,9.536,1
91.626,0.68,7.62489062647084e+18,618203323.0,5.2810000000000015,0.919,6.614,275127008.0,4.97,-0.081,18.642,74.516,59673.0,9.367,50.006,894062.0,-14.896,6.5190497337815e+17,-23.66,67.749,7.467,52.984,0.451,63.249,611856,135.173,41.691,7.16,1056.0,4620.0,968251.0,4.54097144683012e+17,9.59,0.334,9.554,9.536,0
73.98100000000002,0.753,2.8558255757961e+19,436266800.0,4.953,0.843,0.909,771358027.0,2.583,-0.14,17.605999999999995,69.175,8389.0,9.471,26.428,894155.0,9.026,2.38124724213091e+17,12.257,65.546,7.1770000000000005,49.521,0.434,62.351000000000006,516961,148.063,41.458,7.162000000000001,1049.0,5913.0,953896.0,3.91689237785807e+17,9.734,0.332,10.15,10.746,1
76.759,0.6459999999999999,4.5957872275903e+19,444799671.0,5.789,0.688,-0.7879999999999999,239545758.0,0.879,-0.157,15.017,70.206,-7555.0,9.53,9.169,894072.0,-20.425,-1.88295734942205e+17,-50.875,66.038,7.96,57.57899999999999,0.399,62.57899999999999,569795,198.21400000000003,41.272,7.268,1052.0,5807.0,947981.0,4.30302423088195e+17,9.727,0.339,9.94,9.73,1
93.217,1.304,5.9823740180232e+19,350669087.0,9.177,1.026,-0.14800000000000002,191396851.0,3.638,-0.1,18.867,81.275,-1409.0,9.602,38.426,894056.0,47.181,1.45977473994045e+17,73.345,72.457,8.774,92.012,0.363,65.815,588449,228.801,41.354,7.4689999999999985,1095.0,6877.0,943877.0,1.91523111024415e+17,9.832,0.379,10.187,10.435,1
95.458,1.298,7.0155859470947e+19,336109780.0,10.745,1.354,2.674,2563531.0,6.181,-0.104,21.373,84.412,25446.0,9.602,64.868,894339.0,18.279,-1.04597359758658e+17,34.459,74.835,9.55,108.113,0.324,67.179,557307,222.979,41.387,7.747000000000001,1114.0,10108.0,959303.0,1.90996200388129e+17,9.927,0.453,10.311,10.435,1
97.225,1.125,7.6954230148081e+19,555177114.0,11.398,1.634,1.902,456800710.0,8.304,-0.018000000000000002,25.76,87.54299999999998,17929.0,9.6,87.375,894538.0,23.359,3.14735554539172e+17,35.94,77.52199999999998,10.147,116.601,0.28,68.832,599019,189.801,41.89,8.067,1140.0,11688.0,962430.0,2.05347039897039e+17,9.906,0.477,9.956,9.6,1
98.529,0.513,8.0218852211634e+19,832548948.0,12.94,1.994,2.7710000000000004,669199543.0,7.62,0.281,31.748,90.812,26181.0,9.572,83.413,894829.0,12.550999999999998,6.32862548464664e+17,20.595,80.86399999999998,10.017,134.971,0.274,71.118,667890,184.681,41.022,8.327,1178.0,6575.0,969601.0,3.49661187544665e+17,9.772,0.479,9.395,8.834,0
77.604,1.591,7.994972566154e+19,951918328.0,10.144,1.744,17.631,68764763.0,4.4,0.461,28.688,81.29,144828.0,9.55,49.03100000000001,896438.0,-8.883,5.39682477483252e+17,-11.864,76.197,8.399,107.137,0.299,69.112,610532,121.693,41.477,8.336,1163.0,4389.0,965992.0,4.64108546938069e+17,9.619,0.421,9.009,8.623,0
71.689,2.66,7.6146850497898e+19,793124498.0,10.491,1.2819999999999998,1.39,1137861542.0,1.7480000000000002,0.505,26.773000000000003,78.794,12640.0,9.537,19.919,896578.0,8.771,6.03810521561249e+17,11.647,74.98899999999998,6.759,110.091,0.358,68.594,592232,144.435,41.637,8.126,1160.0,4926.0,953004.0,6.30407549017921e+17,9.412,0.419,8.549,8.09,1
82.928,2.483,6.8810226720676e+19,784095127.0,12.281,1.108,4.301,655142054.0,0.29,0.381,28.858,82.421,38973.0,9.555,3.417,897011.0,28.572,4.67638357569649e+17,48.511,77.227,9.796,129.219,0.417,69.937,556794,218.295,42.474,8.349,1181.0,7807.0,944328.0,5.95263488249419e+17,9.481,0.52,9.275,10.0,1
86.148,3.327,5.793985432984e+19,756476062.0,8.714,1.007,6.138,630323910.0,2.293,0.33,29.977,83.691,55986.0,9.581,26.675,897633.0,30.322,2.20779161383321e+17,52.528,78.05199999999998,10.63,95.387,0.445,70.447,604428,225.76,42.515,8.652999999999999,1190.0,7145.0,944962.0,5.66177903154668e+17,9.46,0.534,9.343,9.412,1
90.299,1.243,4.3535733325423e+19,650517593.0,7.956,0.977,8.854,304537174.0,3.745,0.274,31.37,85.535,79637.0,9.581,43.428,898518.0,36.807,2.31900605351086e+17,65.082,79.27600000000002,11.317,88.652,0.455,71.212,590693,241.898,42.203,9.008,1203.0,9495.0,964093.0,5.03795278574262e+17,9.508,0.544,9.672,10.0,1
95.553,0.687,2.5597863707393e+19,665504628.0,8.544,1.209,-2.146,32207068.0,4.7,0.274,31.934,89.26,-20956.0,9.556,55.528,898285.0,25.591,4.8431440752239e+17,51.761,82.1,11.393,97.373,0.458,73.104,610153,254.02,43.414,9.326,1237.0,10294.0,967581.0,3.77144502813032e+17,9.45,0.56,9.422,9.172,1
97.509,0.7040000000000001,6.0162064637294e+18,613550130.0,7.794,1.544,11.856,78239108.0,6.71,0.375,31.04,91.676,104428.0,9.624,79.846,899446.0,41.768,-2.18763163313748e+17,74.639,84.323,12.099,91.821,0.44,74.763,641410,253.336,43.917,9.696,1270.0,17161.0,973266.0,4.32105374671966e+17,9.444,0.631,9.479,9.536,1
97.552,0.5770000000000001,2.7036966617732e+19,813904708.0,9.232,1.525,15.043,1024881088.0,5.634,0.198,28.482,91.734,128905.0,9.682,67.777,900878.0,61.69,-1.01488853764184e+17,83.389,84.37899999999998,11.784,107.398,0.428,74.805,529068,218.562,45.75899999999999,9.974,1271.0,9513.0,975519.0,4.10633175745621e+17,9.621,0.616,10.194,10.909,0
