price3rsiUSD,activeaddresses90var,mediantransactionvalue7rocUSD,sentbyaddress7var,activeaddresses3trx,hashrate14roc,mining_profitability3sma,size90mom,size7rsi,mining_profitability3roc,price30momUSD,confirmationtime3ema,hashrate3mom,mediantransactionvalue90rsiUSD,confirmationtime7wma,sentbyaddress30std,fee_to_rewardUSD,transactionfees14rsiUSD,size14var,hashrate90roc,confirmationtime30ema,transactionfees30rsiUSD,mediantransactionvalue30wmaUSD,difficulty7trx,difficulty14std,hashrate7mom,priceUSD,hashrate3std,hashrate14mom,median_transaction_feeUSD,mediantransactionvalueUSD,sentinusdUSD,category
99.095,1943446743,-0.982,251967555.0,0.992,-12.811,1.246,131709.0,62.233,1.116,41.127,10.865,-1.22059620859722e+17,49.809,10.385,33708.0,1.346,51.612,4452663158,21.022,9.836,50.605,123.075,0.37,8313393794.0,-1.32302343142666e+17,457.376,1.50356451423928e+17,-1.67503862085415e+17,0.0457,127.01,1242330005.0,1
99.458,1949183475,-4.646,504394968.0,1.826,-0.242,1.342,69163.0,55.732,23.682,43.67100000000001,10.201,-6.53021077570586e+16,49.804,10.262,34432.0,8.217,92.457,4195251844,35.55,9.817,85.209,123.393,0.324,6303293906.0,-3.3825686462219e+16,463.109,1.02115046302384e+17,-3049379072209152.0,0.0463,126.838,1281127419.0,0
68.083,1928310207,-11.019,537336034.0,1.246,-3.889,1.328,78274.0,60.601000000000006,-3.645,35.256,10.682,3.97380464969068e+16,49.611,10.549,34962.0,1.41,48.315,5197872807,41.034,9.903,49.3,123.164,0.28,2154392499.0,-5.81334514624369e+16,458.712,1.19225405263834e+17,-5.15078803261169e+16,0.0459,119.287,1138444022.0,0
26.677,1916652568,-16.254,532361592.0,0.455,-14.817,1.33,210482.0,62.322,0.444,26.345,10.674,3.31735416020947e+16,49.413,10.624,35019.0,1.45,48.343,6343765385,19.803,9.953,49.324,122.443,0.24,6250775.0,-2.73214678545981e+17,444.29,8.81457860154112e+16,-2.04071739164612e+17,0.0444,111.561,1196309739.0,1
44.207,1935209794,-26.419,593758438.0,1.332,-4.937,1.288,245299.0,52.15600000000001,-8.201,36.404,9.894,3.49427297869985e+16,49.14100000000001,10.271,36578.0,1.249,48.18,6440337111,23.908,9.899,49.188,121.067,0.204,11221209.0,3.17250028680963e+16,449.257,1.05258137950411e+17,-6.71923623599844e+16,0.0449,100.948,1131451829.0,1
52.941,1943886785,-8.472000000000001,453208237.0,-0.588,7.285,1.3090000000000002,203011.0,46.38800000000001,5.2429999999999986,36.845,9.879,7.13104193226826e+16,48.985,10.139,36355.0,1.108,48.18,5767131040,26.214,9.896,49.188,119.349,0.172,14069351.0,2.00651680550185e+16,451.828,1.43515936506228e+17,9.12752220253146e+16,0.0452,94.884,856718781.0,0
45.202,1804201423,-14.513,577321341.0,-2.03,1.841,1.307,-151252.0,35.476,-0.415,34.798,9.584,1.88843112983457e+17,48.697,9.87,38382.0,0.883,47.922,6401653688,28.399,9.857,48.989,116.972,0.14400000000000002,15973902.0,1.28855950652244e+17,449.954,5.77940842527611e+16,2.46263197622973e+16,0.045,83.691,843948711.0,0
31.502,1435358566,-0.56,607067550.0,-1.07,7.0760000000000005,1.277,-52805.0,48.831,-6.372999999999998,28.098000000000006,9.378,6.85465274933596e+16,49.834,9.628,37559.0,1.138,48.507,6106837695,38.092,9.813,49.40600000000001,117.429,0.12,17250285.0,2.22331151221178e+17,446.236,1.69392592853027e+16,9.00288080785126e+16,0.0446,126.299,1091834123.0,1
32.458,1417183763,5.537000000000001,366763503.0,-0.162,7.372999999999998,1.273,132466.0,51.37300000000001,-0.983,28.374,9.457,4.37667717057751e+16,50.033,9.555,36699.0,1.175,48.179,6089070247,32.125,9.795,49.172,118.339,0.099,18032384.0,1.29134047517852e+17,446.352,2.4327750495991e+16,9.53083610556332e+16,0.0446,133.861,1013256772.0,1
39.426,1416258895,18.181,307584531.0,0.021,7.4689999999999985,1.283,49223.0,44.595,2.154,28.424,9.04,6.8428014809865e+16,50.221,9.253,36633.0,1.118,48.57100000000001,5990987071,27.886,9.72,49.431,119.646,0.08199999999999999,18383396.0,1.57545918965202e+17,446.98800000000006,5.61770988411983e+16,9.94124675027656e+16,0.0447,140.974,1015778254.0,0
