price90varUSD,mining_profitability90trx,top100cap90roc,difficulty90sma,mining_profitability90mom,price30varUSD,fee_to_reward14stdUSD,category
2016.0,-0.8690000000000001,3.916,175948667.0,-906.047,2546.0,2.097,1
2247.0,-0.873,2.842,181210189.0,-925.817,2757.0,2.103,1
2549.0,-0.878,2.283,186444826.0,-822.395,3063.0,2.07,1
2930.0,-0.882,2.553,191557264.0,-599.567,3484.0,2.113,1
3444.0,-0.8859999999999999,2.677,196669702.0,-668.1469999999998,4129.0,2.12,1
4104.0,-0.8909999999999999,3.134,201782140.0,-533.809,5022.0,2.127,1
4802.0,-0.895,3.716,206894577.0,-585.9540000000002,5894.0,2.156,1
5512.0,-0.899,3.85,212007015.0,-569.616,6690.0,2.178,1
6410.0,-0.902,3.899,217472689.0,-537.1030000000002,7781.0,2.224,1
8002.0,-0.906,4.584,223680160.0,-616.377,10288.0,2.245,1
10010.0,-0.91,5.13,229887630.0,-501.99300000000005,13495.0,2.258,1
11081.0,-0.913,5.044,236095101.0,-729.242,14494.0,1.925,1
12961.0,-0.917,5.4529999999999985,242302571.0,-484.82,17097.0,1.4069999999999998,1
15530.0,-0.92,9.126,248451081.0,-321.741,21012.0,0.69,0
18743.0,-0.923,7.471,254492555.0,-184.613,25916.0,0.535,0
21446.0,-0.926,7.607,260534028.0,-278.402,29071.0,0.486,0
24298.0,-0.928,7.624,266575502.0,-276.329,32106.0,0.267,0
27951.0,-0.931,7.162000000000001,272616975.0,-374.383,36342.0,0.269,0
32790.0,-0.933,7.608,278658449.0,-80.821,42573.0,0.28300000000000003,0
38137.0,-0.935,8.005,284699922.0,-157.769,49146.0,0.29,0
44077.0,-0.937,7.303,291018128.0,-274.775,56079.0,0.28,0
51036.0,-0.938,7.207999999999998,298147664.0,-94.091,64092.0,0.244,0
55604.0,-0.939,7.515,305277200.0,-287.269,66331.0,0.24,0
60048.0,-0.94,7.342,312406736.0,-372.994,67523.0,0.232,0
65314.0,-0.941,7.08,319358664.0,126.74,69334.0,0.215,0
71213.0,-0.942,7.69,326252834.0,-40.729,71510.0,0.213,0
76172.0,-0.943,7.436,333147003.0,28.105,71471.0,0.191,0
79876.0,-0.943,8.235,340041173.0,120.906,69088.0,0.206,0
81263.0,-0.943,8.263,346935343.0,-191.848,64413.0,0.244,0
82679.0,-0.944,8.902999999999997,353829512.0,-209.476,59964.0,0.28300000000000003,0
85272.0,-0.944,8.931000000000003,360723682.0,-142.24200000000005,56859.0,0.289,0
88471.0,-0.944,10.349,368373712.0,-141.89,52702.0,0.29,0
91167.0,-0.944,11.446,377500577.0,-238.245,47989.0,0.268,0
93334.0,-0.943,11.83,386627442.0,-250.622,42917.0,0.249,0
95551.0,-0.943,12.236,395751687.0,-239.294,38251.0,0.239,0
97463.0,-0.943,11.983,404593046.0,15.375,33796.0,0.256,0
99035.0,-0.943,12.265999999999998,413434405.0,-70.688,29100.0,0.268,0
99934.0,-0.942,12.228,422275764.0,-164.87,24201.0,0.263,0
99997.0,-0.942,12.384,431117123.0,-233.55900000000003,20550.0,0.267,0
99414.0,-0.942,11.674,439958482.0,-256.47700000000003,20479.0,0.261,1
99019.0,-0.941,11.613,448799842.0,-216.575,20284.0,0.249,0
98804.0,-0.941,11.56,457641201.0,-222.973,17579.0,0.249,0
98279.0,-0.941,12.086,468250800.0,-262.068,17367.0,0.107,0
97783.0,-0.941,11.657,480120740.0,-254.73,17816.0,0.099,0
97294.0,-0.941,11.792,491990681.0,-266.583,18557.0,0.096,0
96845.0,-0.94,12.186,503714219.0,-199.105,18836.0,0.095,0
96324.0,-0.94,10.015,515182041.0,-83.553,19256.0,0.07400000000000001,0
96062.0,-0.94,9.799,526649863.0,-104.247,19481.0,0.07,0
95858.0,-0.94,9.762,538117685.0,-112.733,19379.0,0.068,0
95464.0,-0.94,9.507,549585508.0,-123.828,18976.0,0.063,0
94925.0,-0.94,9.397,561053330.0,-83.645,18008.0,0.063,0
94483.0,-0.94,9.481,572521152.0,-107.269,15724.0,0.065,0
93829.0,-0.94,8.267000000000001,583988974.0,-81.811,15145.0,0.07400000000000001,0
93125.0,-0.94,5.999,595456796.0,-15.012,14479.0,0.084,0
92438.0,-0.94,6.167999999999998,609426268.0,-155.219,12953.0,0.106,0
91749.0,-0.94,6.167000000000002,623533626.0,-143.701,10487.0,0.103,0
91223.0,-0.94,6.662000000000001,637470873.0,-50.032,8857.0,0.106,0
90898.0,-0.94,6.43,651128652.0,45.414,8487.0,0.105,0
91167.0,-0.94,6.655,664786431.0,11.005999999999998,9847.0,0.201,0
90861.0,-0.94,6.921,678444211.0,-16.82,10580.0,0.2,0
89914.0,-0.94,6.609,692101990.0,-37.798,10534.0,0.201,0
88850.0,-0.939,6.1179999999999986,705759770.0,1.4240000000000002,10006.0,0.204,0
87636.0,-0.939,6.011,719417549.0,-89.228,9720.0,0.204,0
86675.0,-0.939,5.932,733075328.0,-2.9410000000000003,10066.0,0.209,0
85561.0,-0.939,6.05,746733108.0,-25.871,10251.0,0.214,0
84003.0,-0.939,6.0520000000000005,763855142.0,-163.79399999999995,10157.0,0.213,0
82377.0,-0.939,6.127000000000002,781295507.0,-38.053,10206.0,0.213,0
80726.0,-0.939,6.669,798204570.0,19.643,10484.0,0.2,0
78980.0,-0.939,6.558,815113633.0,-64.863,10399.0,0.196,0
77064.0,-0.939,6.763,832022697.0,-97.121,8800.0,0.199,0
75138.0,-0.939,6.8279999999999985,848931760.0,-29.947,7919.0,0.199,0
73201.0,-0.939,7.427,865840823.0,-85.32700000000001,7443.0,0.2,0
71528.0,-0.939,7.86,882749887.0,-83.713,6533.0,0.105,0
69732.0,-0.939,7.9,899658950.0,-144.735,5624.0,0.109,0
67718.0,-0.939,8.09,916568013.0,-94.022,4752.0,0.109,0
65360.0,-0.939,2.553,933477077.0,-103.006,3997.0,0.11,0
62832.0,-0.939,3.355,950900388.0,14.441,3190.0,0.107,0
60332.0,-0.939,3.265,970932823.0,-49.692,2852.0,0.099,0
57945.0,-0.939,3.489,990965257.0,-45.131,2654.0,0.085,0
55496.0,-0.939,3.744,1010997691.0,-32.79,2334.0,0.08199999999999999,0
52795.0,-0.94,3.59,1031030125.0,-104.273,1980.0,0.076,0
50068.0,-0.94,3.417,1051062560.0,-76.676,1761.0,0.07400000000000001,0
47238.0,-0.94,3.279,1071094994.0,-59.723,1533.0,0.07200000000000001,0
44360.0,-0.94,3.361,1091127428.0,-51.815,1356.0,0.065,0
41453.0,-0.941,3.545,1111159862.0,-66.09100000000001,1198.0,0.076,0
38571.0,-0.941,1.3,1131192297.0,-78.233,1096.0,0.084,0
35763.0,-0.941,0.937,1150987181.0,-101.655,1126.0,0.08800000000000001,0
33063.0,-0.942,1.668,1169686271.0,-61.551,1137.0,0.081,0
30585.0,-0.942,-1.054,1191439337.0,-88.389,707.502,0.08199999999999999,0
28249.0,-0.943,-1.102,1214889056.0,-123.763,595.846,0.07400000000000001,0
26222.0,-0.943,-1.172,1238338775.0,-232.988,1005.0,0.086,0
23761.0,-0.944,-1.238,1261788495.0,-167.565,1630.0,0.08800000000000001,0
21531.0,-0.945,-1.099,1285238214.0,-200.047,2399.0,0.08800000000000001,0
19536.0,-0.945,-1.378,1308687933.0,-207.908,3081.0,0.08900000000000001,0
17819.0,-0.946,-1.012,1332137652.0,-196.941,3650.0,0.084,0
16448.0,-0.947,-0.984,1355587371.0,-288.64,4617.0,0.086,0
15392.0,-0.948,-0.74,1379037090.0,-300.534,6226.0,0.086,0
14521.0,-0.949,-0.775,1402486809.0,-306.458,8024.0,0.08900000000000001,0
13722.0,-0.95,-1.022,1425583292.0,-293.862,9071.0,0.084,0
13357.0,-0.951,-0.885,1447937978.0,-302.627,9625.0,0.084,0
13248.0,-0.952,-0.916,1475866128.0,-433.05300000000005,10068.0,0.168,0
12569.0,-0.953,-0.279,1503867133.0,-305.387,10404.0,0.168,0
12477.0,-0.954,-0.146,1531868139.0,-376.253,10344.0,0.17,0
12743.0,-0.955,-3.258,1559869144.0,-502.222,10551.0,0.17,0
13274.0,-0.956,-1.829,1587870150.0,-525.715,11011.0,0.16699999999999998,0
13681.0,-0.958,-1.663,1615871155.0,-479.756,11281.0,0.16699999999999998,0
13950.0,-0.959,-1.403,1643872161.0,-500.84,11317.0,0.168,0
14460.0,-0.96,-1.6780000000000002,1671873166.0,-504.208,11469.0,0.16899999999999998,0
15206.0,-0.962,-2.764,1699874172.0,-729.296,11900.0,0.177,1
15394.0,-0.963,-2.659,1727875177.0,-688.809,11358.0,0.177,1
15322.0,-0.965,-2.085,1755599450.0,-638.996,11211.0,0.177,0
14870.0,-0.967,-1.887,1785966313.0,-742.933,10775.0,0.177,0
15071.0,-0.968,-2.019,1820503152.0,-584.268,10378.0,0.173,1
15229.0,-0.97,-1.791,1855039991.0,-518.0409999999998,9698.0,0.163,1
14896.0,-0.971,-2.083,1889576830.0,-703.203,8517.0,0.106,1
14050.0,-0.973,-1.546,1924113669.0,-590.2090000000002,7280.0,0.124,0
13471.0,-0.975,-1.018,1958650508.0,-619.887,6192.0,0.12,1
13217.0,-0.977,-1.505,1993187347.0,-617.837,5039.0,0.119,0
13324.0,-0.978,-7.423999999999999,2027724186.0,-417.979,3622.0,0.12,1
13487.0,-0.98,-7.127999999999999,2062261025.0,-468.828,2502.0,0.119,1
13474.0,-0.982,-7.945,2096797865.0,-454.638,2064.0,0.121,1
13237.0,-0.984,-11.898,2130578843.0,-520.106,1826.0,0.127,1
13101.0,-0.986,-12.6,2162882987.0,-400.541,1680.0,0.119,1
13031.0,-0.987,-12.63,2195187131.0,-370.594,1617.0,0.118,1
12896.0,-0.989,-12.851,2231961379.0,-426.509,1550.0,0.114,1
12806.0,-0.991,-12.504,2269093235.0,-447.583,1548.0,0.117,0
12763.0,-0.993,-12.493,2306225091.0,-347.796,1536.0,0.128,0
12821.0,-0.995,-12.447,2343356947.0,-385.95,1430.0,0.131,0
12897.0,-0.997,-12.45,2380488803.0,-308.495,1420.0,0.117,0
12718.0,-0.999,-12.5,2417620660.0,-229.662,1402.0,0.104,0
12723.0,-1.001,-12.713,2454752516.0,-273.558,1389.0,0.102,0
12859.0,-1.003,-12.562,2491884372.0,-241.565,1383.0,0.103,1
12946.0,-1.004,-12.153,2527247988.0,-213.356,1399.0,0.103,1
13137.0,-1.006,-12.009,2561351263.0,-219.261,1460.0,0.107,1
13348.0,-1.008,-11.879,2595454537.0,-207.883,1462.0,0.123,1
13587.0,-1.01,-12.046,2629781406.0,-217.595,1496.0,0.112,1
13776.0,-1.012,-10.838,2672291822.0,-223.625,1515.0,0.112,1
13976.0,-1.014,-10.74,2714802237.0,-270.513,1497.0,0.115,1
14278.0,-1.016,-10.427,2757312653.0,-268.10900000000004,1253.0,0.113,1
14749.0,-1.018,-9.721,2799823068.0,-233.581,1569.0,0.102,1
15226.0,-1.02,-9.613,2842333484.0,-281.41200000000003,1908.0,0.11,1
15807.0,-1.022,-9.896,2884843899.0,-275.526,2438.0,0.109,1
16438.0,-1.024,-9.467,2927354315.0,-278.612,3041.0,0.11,1
