mining_profitability90wma,mining_profitability90trx,price90rocUSD,difficulty90std,price90varUSD,difficulty14trx,category
384.483,-0.899,331.619,302560556.0,5512.0,2.789,1
382.252,-0.902,362.523,308430707.0,6410.0,2.67,1
380.467,-0.906,444.508,317128879.0,8002.0,2.6010000000000004,1
381.035,-0.91,472.626,325121037.0,10010.0,2.555,1
379.233,-0.913,361.051,332458103.0,11081.0,2.517,1
379.199,-0.917,464.9980000000001,339182591.0,12961.0,2.477,1
381.799,-0.92,538.112,345463450.0,15530.0,2.43,0
384.699,-0.923,586.085,351437783.0,18743.0,2.373,0
387.153,-0.926,546.346,356903405.0,21446.0,2.306,0
389.884,-0.928,546.3430000000002,361883366.0,24298.0,2.228,0
392.827,-0.931,591.052,366397469.0,27951.0,2.143,0
400.279,-0.933,669.7869999999998,370462744.0,32790.0,2.051,0
407.451,-0.935,689.66,374093823.0,38137.0,1.954,0
413.4380000000001,-0.937,704.21,378273247.0,44077.0,1.866,0
421.525,-0.938,744.183,385146433.0,51036.0,1.819,0
425.815,-0.939,629.028,391379942.0,55604.0,1.793,0
428.796,-0.94,635.127,397003905.0,60048.0,1.777,0
436.195,-0.941,715.472,402477841.0,65314.0,1.761,0
441.309,-0.942,783.534,407541269.0,71213.0,1.741,0
446.934,-0.943,761.387,412081452.0,76172.0,1.713,0
452.745,-0.943,696.5930000000002,416115518.0,79876.0,1.6780000000000002,0
453.801,-0.943,518.04,419658061.0,81263.0,1.635,1
456.0,-0.944,522.476,422721440.0,82679.0,1.584,1
458.126,-0.944,613.846,425316008.0,85272.0,1.527,0
461.41,-0.944,653.1419999999998,430083510.0,88471.0,1.493,0
462.356,-0.944,617.798,440541867.0,91167.0,1.524,0
462.792,-0.943,588.016,450017833.0,93334.0,1.589,1
464.069,-0.943,602.021,458579366.0,95551.0,1.665,1
465.858,-0.943,591.053,467009503.0,97463.0,1.7380000000000002,0
465.6230000000001,-0.943,574.082,474631816.0,99035.0,1.798,1
466.322,-0.942,523.268,481484671.0,99934.0,1.84,1
465.073,-0.942,438.246,487600512.0,99997.0,1.864,1
462.198,-0.942,352.5730000000001,493006767.0,99414.0,1.867,1
460.525,-0.941,409.049,497726560.0,99019.0,1.852,1
458.1,-0.941,447.882,501779262.0,98804.0,1.821,1
455.11,-0.941,405.448,512417311.0,98279.0,1.831,1
452.071,-0.941,423.408,528167184.0,97783.0,1.896,1
449.061,-0.941,435.889,542422791.0,97294.0,1.985,1
446.191,-0.94,449.146,555704640.0,96845.0,2.075,1
443.224,-0.94,446.585,568389444.0,96324.0,2.152,1
441.43,-0.94,496.898,579890839.0,96062.0,2.208,1
439.61300000000006,-0.94,511.24300000000005,590278004.0,95858.0,2.241,1
436.821,-0.94,498.523,599608850.0,95464.0,2.249,1
435.194,-0.94,493.059,607932015.0,94925.0,2.234,1
433.24,-0.94,516.599,615288396.0,94483.0,2.198,1
431.585,-0.94,570.894,621712311.0,93829.0,2.145,1
430.374,-0.94,610.706,627232411.0,93125.0,2.077,1
426.402,-0.94,566.294,642633793.0,92438.0,2.0580000000000003,1
424.27,-0.94,565.179,657149030.0,91749.0,2.066,1
421.466,-0.94,599.26,670651966.0,91223.0,2.082,0
420.5630000000001,-0.94,628.944,683527833.0,90898.0,2.095,0
419.218,-0.94,690.7919999999998,695092984.0,91167.0,2.0980000000000003,0
417.204,-0.94,644.398,705411890.0,90861.0,2.087,0
415.208,-0.94,586.891,714538547.0,89914.0,2.062,0
413.689,-0.939,586.2869999999998,722518134.0,88850.0,2.022,0
410.977,-0.939,581.619,729388302.0,87636.0,1.97,0
409.436,-0.939,609.243,735180152.0,86675.0,1.908,0
408.031,-0.939,586.9830000000002,739919007.0,85561.0,1.836,0
403.774,-0.939,521.509,758609820.0,84003.0,1.824,0
400.296,-0.939,519.855,779666487.0,82377.0,1.855,0
397.382,-0.939,518.442,800121837.0,80726.0,1.905,0
393.759,-0.939,494.275,818671329.0,78980.0,1.955,0
389.579,-0.939,434.624,835441921.0,77064.0,1.997,0
386.514,-0.939,431.945,850538848.0,75138.0,2.023,0
382.891,-0.939,411.069,864049842.0,73201.0,2.031,0
380.222,-0.939,391.391,876048283.0,71528.0,2.021,0
376.388,-0.939,350.847,886595583.0,69732.0,1.994,0
373.414,-0.939,359.28,895743005.0,67718.0,1.952,0
369.726,-0.939,394.425,903533066.0,65360.0,1.896,0
365.832,-0.939,367.224,919981794.0,62832.0,1.857,0
361.451,-0.939,364.862,948413405.0,60332.0,1.866,0
357.0619999999999,-0.939,357.962,974371122.0,57945.0,1.897,0
353.211,-0.939,344.796,998047991.0,55496.0,1.934,0
348.338,-0.94,308.148,1019602920.0,52795.0,1.965,0
343.867,-0.94,321.78,1039167960.0,50068.0,1.984,0
340.0,-0.94,310.698,1056853630.0,47238.0,1.987,0
335.74300000000005,-0.94,313.097,1072752887.0,44360.0,1.974,0
331.44199999999995,-0.941,313.986,1086944124.0,41453.0,1.946,0
327.2920000000001,-0.941,290.863,1099493480.0,38571.0,1.903,0
322.719,-0.941,253.035,1111097761.0,35763.0,1.849,0
318.486,-0.942,229.337,1123951880.0,33063.0,1.785,0
313.696,-0.942,203.001,1147643571.0,30585.0,1.75,0
309.0490000000001,-0.943,168.46599999999995,1176938526.0,28249.0,1.7519999999999998,0
303.557,-0.943,117.295,1203695854.0,26222.0,1.768,0
298.392,-0.944,138.671,1228081433.0,23761.0,1.788,0
292.565,-0.945,115.352,1250234054.0,21531.0,1.802,0
287.437,-0.945,95.967,1270270546.0,19536.0,1.805,0
282.0490000000001,-0.946,79.234,1288289647.0,17819.0,1.797,0
276.866,-0.947,58.13,1304374967.0,16448.0,1.775,0
271.243,-0.948,39.634,1318597278.0,15392.0,1.742,1
265.731,-0.949,30.878,1331016301.0,14521.0,1.6969999999999998,1
260.404,-0.95,29.709,1342628459.0,13722.0,1.643,1
255.272,-0.951,15.168,1354476425.0,13357.0,1.582,0
249.549,-0.952,4.7189999999999985,1387424873.0,13248.0,1.571,0
244.246,-0.953,27.001,1417742911.0,12569.0,1.587,0
239.048,-0.954,3.813,1445257657.0,12477.0,1.614,0
233.69,-0.955,-11.48,1470126518.0,12743.0,1.64,0
228.161,-0.956,-23.497,1492481763.0,13274.0,1.659,0
223.277,-0.958,-17.684,1512434857.0,13681.0,1.6669999999999998,0
218.258,-0.959,-14.462,1530079778.0,13950.0,1.663,0
213.43,-0.96,-28.407,1545495587.0,14460.0,1.646,1
208.197,-0.962,-43.925,1558748421.0,15206.0,1.617,1
203.732,-0.963,-38.686,1569893060.0,15394.0,1.577,0
199.306,-0.965,-40.879,1579768790.0,15322.0,1.529,0
194.784,-0.967,-46.055,1602907145.0,14870.0,1.5019999999999998,0
190.112,-0.968,-38.827,1641933565.0,15071.0,1.52,0
185.659,-0.97,-38.872,1677211377.0,15229.0,1.56,0
181.58900000000003,-0.971,-38.577,1708972741.0,14896.0,1.606,0
177.921,-0.973,-34.643,1737410518.0,14050.0,1.6469999999999998,0
174.245,-0.975,-33.2,1762685577.0,13471.0,1.6769999999999998,0
170.958,-0.977,-27.821,1784932276.0,13217.0,1.694,0
167.49,-0.978,-10.896,1804262639.0,13324.0,1.696,0
164.10299999999995,-0.98,-15.523,1820769553.0,13487.0,1.683,0
161.017,-0.982,-26.725,1834529235.0,13474.0,1.656,0
157.727,-0.984,-31.251,1847878045.0,13237.0,1.618,0
154.81799999999996,-0.986,-29.489,1862872939.0,13101.0,1.569,0
152.09799999999996,-0.987,-25.379,1875523777.0,13031.0,1.513,0
149.019,-0.989,-26.587,1902746668.0,12896.0,1.481,0
146.035,-0.991,-25.955,1928238514.0,12806.0,1.464,0
143.333,-0.993,-24.331,1950572341.0,12763.0,1.452,0
140.795,-0.995,-18.436,1969855565.0,12821.0,1.44,0
138.063,-0.997,-7.129,1986177041.0,12897.0,1.4240000000000002,0
135.458,-0.999,10.638,1999609295.0,12718.0,1.402,0
133.083,-1.001,-0.358,2010210245.0,12723.0,1.374,0
130.673,-1.003,-10.176,2018024511.0,12859.0,1.339,0
128.32299999999998,-1.004,-5.2189999999999985,2028462009.0,12946.0,1.2990000000000002,0
125.782,-1.006,-11.258,2039947382.0,13137.0,1.253,0
123.511,-1.008,-13.185,2049099376.0,13348.0,1.203,0
121.152,-1.01,-15.966,2056658376.0,13587.0,1.151,0
118.568,-1.012,-13.804,2092952787.0,13776.0,1.145,0
116.161,-1.014,-20.654,2125229865.0,13976.0,1.165,0
113.825,-1.016,-27.868,2153670242.0,14278.0,1.196,0
111.31,-1.018,-31.9,2178424191.0,14749.0,1.228,0
108.937,-1.02,-31.577,2199616175.0,15226.0,1.257,0
106.413,-1.022,-38.292,2217348325.0,15807.0,1.276,0
104.162,-1.024,-39.599,2231703114.0,16438.0,1.286,0
101.849,-1.027,-38.235,2242745393.0,16927.0,1.285,0
99.776,-1.029,-40.198,2258148164.0,17427.0,1.273,0
97.516,-1.031,-45.195,2271026221.0,18040.0,1.252,1
95.358,-1.033,-46.75899999999999,2281045718.0,18451.0,1.223,0
93.094,-1.035,-48.522,2311238617.0,18619.0,1.217,0
90.952,-1.037,-52.239,2365508358.0,18248.0,1.255,0
88.851,-1.039,-50.369,2414043661.0,18121.0,1.3130000000000002,0
86.76700000000002,-1.042,-46.788,2457184356.0,18273.0,1.376,0
84.833,-1.044,-47.389,2495210268.0,18401.0,1.435,0
82.822,-1.046,-51.82100000000001,2528352184.0,18704.0,1.482,1
80.979,-1.0490000000000002,-55.16,2556800032.0,18720.0,1.515,1
79.155,-1.051,-52.42,2580709051.0,18595.0,1.5319999999999998,1
77.398,-1.053,-50.338,2610721230.0,18744.0,1.533,1
75.766,-1.055,-47.18899999999999,2638622854.0,18681.0,1.521,0
74.199,-1.058,-43.15,2662757373.0,18361.0,1.495,0
72.72,-1.06,-39.428,2683226439.0,17942.0,1.459,0
71.29899999999998,-1.062,-38.561,2708609156.0,17675.0,1.423,0
69.811,-1.065,-42.01300000000001,2760106516.0,17373.0,1.416,0
68.347,-1.067,-41.71100000000001,2805925171.0,16998.0,1.4240000000000002,0
67.02,-1.069,-43.427,2846339371.0,16321.0,1.435,0
65.658,-1.072,-42.185,2881576519.0,15749.0,1.443,0
64.325,-1.074,-42.319,2911824567.0,15222.0,1.444,1
63.074,-1.0759999999999998,-41.933,2937237657.0,14754.0,1.4369999999999998,1
61.826,-1.079,-39.69,2963143762.0,14404.0,1.421,1
60.74800000000001,-1.081,-43.965,2992639105.0,13980.0,1.395,1
59.525,-1.083,-46.99100000000001,3018102578.0,13365.0,1.361,1
58.432,-1.086,-47.508,3039635507.0,12740.0,1.32,1
57.247,-1.088,-45.392,3057320944.0,12455.0,1.273,1
56.229,-1.09,-46.29600000000001,3073016869.0,11972.0,1.223,1
55.01600000000001,-1.093,-45.332,3127295050.0,11522.0,1.21,1
54.058,-1.095,-44.995,3175407181.0,10947.0,1.216,1
52.978,-1.097,-46.507,3217629871.0,10267.0,1.231,1
51.934,-1.099,-47.411,3254192371.0,9590.0,1.246,1
50.97,-1.102,-46.809,3285283668.0,9001.0,1.257,1
49.984,-1.104,-47.202,3311057890.0,8378.0,1.261,1
49.19300000000001,-1.106,-48.532,3340909343.0,7652.0,1.256,1
48.26300000000001,-1.109,-45.624,3370799087.0,7049.0,1.243,1
47.464,-1.111,-39.449,3396220889.0,6765.0,1.222,1
46.682,-1.113,-36.286,3417274464.0,6577.0,1.193,1
45.947,-1.115,-33.519,3434040156.0,6433.0,1.157,1
45.125,-1.118,-32.915,3446580540.0,6339.0,1.117,1
44.412,-1.12,-33.761,3468563090.0,6237.0,1.084,1
43.637,-1.122,-31.029,3506561403.0,6199.0,1.072,1
42.89,-1.124,-23.204,3538736687.0,6249.0,1.071,1
42.205,-1.127,-18.581,3565246600.0,6310.0,1.073,1
41.54,-1.129,-24.348000000000006,3586216782.0,6330.0,1.074,1
40.855,-1.131,-29.609,3601743994.0,6248.0,1.071,1
40.241,-1.133,-29.35,3628923613.0,6169.0,1.063,1
39.61,-1.135,-29.163,3651668127.0,6087.0,1.0490000000000002,1
39.015,-1.137,-25.246,3669865901.0,5985.0,1.029,1
38.5,-1.14,-17.621,3683584320.0,5910.0,1.004,1
38.003,-1.142,-9.897,3692873306.0,5880.0,0.973,1
37.552,-1.144,-8.5,3697766238.0,5834.0,0.939,1
37.019,-1.146,-16.034000000000002,3727494041.0,5706.0,0.925,1
36.565,-1.148,-1.826,3790526694.0,5693.0,0.946,1
36.102,-1.15,16.102,3845642157.0,5745.0,0.987,0
35.626,-1.152,0.068,3893176694.0,5746.0,1.033,0
35.23300000000001,-1.154,-1.445,3933405159.0,5734.0,1.079,1
34.793,-1.156,-0.14800000000000002,3977487343.0,5733.0,1.117,1
34.464,-1.158,5.9129999999999985,4026966307.0,5781.0,1.146,1
34.113,-1.16,10.422,4070499290.0,5883.0,1.163,1
33.826,-1.161,6.561,4108275316.0,5982.0,1.169,1
33.587,-1.163,-6.16,4140451961.0,5848.0,1.165,1
33.289,-1.165,0.366,4167158933.0,5856.0,1.15,0
