hashrate14std,fee_to_reward90trxUSD,hashrate30trx,difficulty14trx,top100cap,price90smaUSD,price90rocUSD,difficulty90var,mining_profitability,price30varUSD,difficulty14var,price30smaUSD,priceUSD,price3emaUSD,top100cap90rsi,price90momUSD,top100cap30rsi,difficulty7trx,price7rocUSD,price7rsiUSD,median_transaction_feeUSD,price14rocUSD,top100cap14mom,top100cap14rsi,top100cap30mom,top100cap30roc,category
1.57707239104773e+16,-0.365,1.241,1.433,19.463,527.691,40.895,8.68726938176812e+18,20.891,872.466,2.50544134767814e+18,612.529,636.5790000000002,638.354,45.24100000000001,184.767,43.539,2.164,9.027,65.50399999999999,0.0637,7.72,-0.494,34.89,-0.397,-1.997,0
1.73218932020656e+16,-0.363,1.235,1.481,19.464,529.585,37.105,9.06784208050903e+18,17.597,831.811,2.61047763051574e+18,611.812,629.756,634.055,45.245,170.43099999999995,43.553,2.102,5.519,59.062,0.063,6.832000000000002,-0.503,34.926,-0.42,-2.114,1
1.63197186877049e+16,-0.362,1.226,1.5119999999999998,19.465,531.571,39.371,9.4201523257598e+18,18.439,786.2560000000002,2.60059616836724e+18,611.1,632.7869999999998,633.4209999999998,45.271,178.75599999999997,43.653,1.978,6.4110000000000005,61.047,0.0633,5.658,-0.4970000000000001,35.175,-0.344,-1.736,0
1.5163335178877e+16,-0.36,1.214,1.525,19.325,533.518,38.81800000000001,9.7442001175205e+18,19.359,741.178,2.47579696123252e+18,610.2959999999998,626.639,630.03,43.761,175.22799999999995,38.59,1.815,1.061,54.76300000000001,0.0627,6.3039999999999985,-0.485,27.136,-0.501,-2.526,0
1.52642588410768e+16,-0.358,1.2009999999999998,1.5219999999999998,19.308,535.451,38.919,1.0039985455791e+19,18.424,683.507,2.23608000911176e+18,609.237,621.123,625.577,43.58600000000001,174.013,38.048,1.632,-4.336,49.43600000000001,0.0621,6.0520000000000005,-0.165,26.365,-0.508,-2.5660000000000003,0
1.63310284131618e+16,-0.35600000000000004,1.19,1.505,19.289,537.826,52.423,1.0307508340571e+19,19.194000000000006,637.08,1.88144531200492e+18,608.345,621.434,623.505,43.389,213.731,37.437,1.445,-3.765,49.757,0.0621,9.232,-0.187,25.49,-0.53,-2.672,0
1.61780791203921e+16,-0.354,1.178,1.475,19.286,540.195,52.867,1.0546768771862e+19,17.967,578.039,1.4118928699119e+18,607.205,616.557,620.031,43.353,213.229,37.323,1.263,-4.209,44.572,0.0617,8.199,-0.18600000000000005,25.323,-0.564,-2.84,1
1.66683613680964e+16,-0.35200000000000004,1.165,1.4340000000000002,19.281,542.382,46.275,1.0757766749662e+19,18.387,543.4580000000002,8.274226828327e+17,606.525,622.121,621.076,43.302,196.811,37.159,1.091,-2.271,51.324,0.0622,6.551,-0.18,25.076,-0.613,-3.08,1
1.69883104508594e+16,-0.35,1.153,1.386,19.297,544.784,51.982,1.0942725677472e+19,18.918,557.762,1.28286606607581e+17,606.883,632.056,626.566,43.526,216.18,38.091,0.936,0.365,61.175,0.0632,5.904,-0.158,27.596,-0.605,-3.042,0
1.63051259913439e+16,-0.348,1.141,1.339,19.304,546.826,41.212,1.1168452709437e+19,18.615,569.811,1.77179710642586e+16,608.007,629.664,628.115,43.62,183.765,38.483,0.846,-0.493,57.88399999999999,0.063,5.886,-0.133,28.67,-0.602,-3.024,0
