priceUSD,price90emaUSD,mining_profitability90trx,sentinusd90stdUSD,price30wmaUSD,difficulty30trx,median_transaction_feeUSD,difficulty90var,mining_profitability,top100cap,difficulty30var,difficulty14wma,difficulty3ema,hashrate14trx,difficulty90mom,hashrate14var,price7rsiUSD,fee_to_rewardUSD,difficulty30roc,difficulty30mom,mediantransactionvalueUSD,category
105.935,101.042,0.385,183915763,119.47,1.043,0.053,7590398497552.0,3133.0,19.914,2293204420377.0,13922407.0,15430885.0,1.859,11237757.0,2.0919879212364e+26,12.953,0.902,54.875,5529340.0,71.689,0
104.06,101.108,0.378,184189305,118.583,1.058,0.052000000000000005,7800364207164.0,3358.0,19.909,2526242029872.0,14238682.0,15518259.0,1.885,11237757.0,2.0491415467723e+26,11.563,0.789,54.875,5529340.0,80.152,0
106.555,101.228,0.37,184205898,117.876,1.073,0.0533,7979147898205.0,3690.0,19.881,2725705345123.0,14522078.0,15561946.0,1.881,11237757.0,1.5588198405731e+26,24.187,1.052,51.494,5304502.0,81.931,0
108.05,101.378,0.361,184039557,117.276,1.088,0.054000000000000006,8159408765588.0,3678.0,19.976,2974623360578.0,14772597.0,15583789.0,1.897,10940245.0,1.4743802040354e+26,31.065,0.835,39.495,4418375.0,87.854,0
106.945,101.5,0.353,183375565,116.614,1.102,0.0535,8329634192341.0,3238.0,19.971,3180159065846.0,14990237.0,15594711.0,1.929,10757986.0,1.391132836752e+26,28.811,0.875,39.495,4418375.0,106.838,0
102.855,101.53,0.344,183669270,115.691,1.115,0.0514,8471283260415.0,3401.0,19.998,3342312460928.0,15174998.0,15600172.0,1.922,10757986.0,1.028669129509e+26,21.938,0.804,39.495,4418375.0,96.777,0
100.25,101.502,0.336,183628671,114.604,1.126,0.0501,8584355969811.0,3173.0,20.004,3461083545823.0,15326882.0,15602902.0,1.885,10757986.0,7.8465878473103e+25,18.635,0.7609999999999999,39.495,4418375.0,91.151,0
100.355,101.477,0.326,184145966,113.539,1.136,0.0502,8713395365933.0,3180.0,20.032,3594964878167.0,15491632.0,15775812.0,1.848,11101075.0,8.0688304789619e+25,19.207,0.675,42.562,4761465.0,56.682,0
100.846,101.463,0.317,184655648,112.527,1.154,0.0504,9381995875102.0,2330.0,20.043,4628534527797.0,16072308.0,17557535.0,1.832,14491611.0,9.6438897439302e+25,22.188,1.01,72.869,8152001.0,65.66,0
103.663,101.511,0.307,185079742,111.722,1.176,0.0518,9998742855170.0,2545.0,20.043,5514426139153.0,16584548.0,18448397.0,1.7919999999999998,14491611.0,8.1880103036555e+25,37.615,1.071,72.869,8152001.0,82.565,0
105.104,101.59,0.297,185627344,111.03,1.202,0.0526,10563636306135.0,2969.0,20.077,6252639712237.0,17028351.0,18893828.0,1.689,14491611.0,1.062116592537e+26,44.217,1.091,72.869,8152001.0,75.327,0
105.826,101.683,0.287,185845261,110.403,1.229,0.0529,11076676227999.0,2897.0,20.07,6843175247047.0,17416225.0,19116543.0,1.592,14491611.0,1.0658574156990001e+26,47.466,1.788,72.869,8152001.0,64.72399999999999,0
106.072,101.78,0.277,186015829,109.811,1.256,0.053,11537862620761.0,2966.0,20.083,7286032743583.0,17768541.0,19227901.0,1.517,14491611.0,9.8725204501457e+25,48.654,1.017,72.869,8152001.0,97.501,0
103.671,101.821,0.267,186356968,109.087,1.283,0.0518,12039840093389.0,2732.0,20.048,7581212201847.0,18085298.0,19283579.0,1.49,13758207.0,1.3920450090008e+26,38.687,1.252,72.869,8152001.0,73.044,0
101.679,101.818,0.256,187332659,108.268,1.307,0.0508,12616539901603.0,2511.0,20.08,7728713621837.0,18366497.0,19311419.0,1.4880000000000002,12643432.0,1.703518649201e+26,32.285,0.795,72.869,8152001.0,65.53699999999999,0
98.478,101.745,0.246,187852730,107.29,1.329,0.0492,13153769000563.0,2541.0,20.082,7800138732732.0,18612138.0,19325339.0,1.455,12643432.0,1.6167192686883998e+26,24.64,1.038,68.891,7888504.0,80.036,0
97.247,101.646,0.235,187223727,106.297,1.347,0.0486,13651527390268.0,2585.0,20.03,7913150335889.0,18822221.0,19332298.0,1.405,12643432.0,1.4212188546886e+26,22.274,0.857,59.12600000000001,7185847.0,77.311,0
98.0,101.566,0.224,187563148,105.42,1.3630000000000002,0.049,14109815070719.0,2560.0,20.052,7911414403888.0,18996745.0,19335778.0,1.379,12643432.0,1.6757886094845e+26,27.256,0.921,59.12600000000001,7185847.0,83.884,0
96.6,101.457,0.214,188118244,104.517,1.374,0.0483,14528632041915.0,2646.0,20.083,7794930936727.0,19135711.0,19337518.0,1.338,12643432.0,1.6666630886521003e+26,23.927,0.7340000000000001,59.12600000000001,7185847.0,81.02600000000002,0
92.242,101.254,0.203,188398079,103.397,1.383,0.0461,14907978303857.0,2374.0,20.103,7563699934409.0,19239118.0,19338388.0,1.31,12643432.0,1.7023196859942e+26,16.575,1.129,59.12600000000001,7185847.0,79.156,0
89.28299999999999,100.991,0.192,189005192,102.158,1.389,0.0446,15394620945548.0,2292.0,20.145,7394174836466.0,19418779.0,19758116.0,1.285,13482018.0,1.6567499514702e+26,13.331,0.5770000000000001,66.02600000000001,8024433.0,75.736,1
89.829,100.746,0.181,189775882,101.037,1.3969999999999998,0.0449,16060496285642.0,1973.0,20.147,7378919499631.0,19709226.0,20546723.0,1.279,14639503.0,1.9194907522145e+26,16.835,0.759,75.55,9181917.0,64.357,1
85.60799999999998,100.413,0.16899999999999998,186968107,99.722,1.404,0.0428,16673454331131.0,2033.0,20.211,7176313924534.0,19948372.0,20941026.0,1.264,14639503.0,1.9898032764751e+26,12.336,0.613,75.55,9181917.0,105.117,1
83.204,100.035,0.158,183928538,98.341,1.409,0.0416,17233495082015.0,1929.0,20.251,6786358111175.0,20168508.0,21138178.0,1.242,14639503.0,1.9313266122954e+26,10.476,0.925,75.55,9181917.0,99.089,1
81.42399999999998,99.626,0.147,180690882,96.933,1.414,0.0407,17740618538294.0,2107.0,20.262,6209052059556.0,20369634.0,21236753.0,1.234,14639503.0,1.1367706241193e+26,9.269,0.612,75.55,9181917.0,128.995,1
78.461,99.161,0.135,177994707,95.417,1.416,0.0392,18235015089170.0,1745.0,20.347,5444395769674.0,20551749.0,21286041.0,1.244,14330271.0,1.2174171936323e+26,7.574,0.565,75.55,9181917.0,84.779,1
73.017,98.586,0.124,177519919,93.639,1.416,0.0365,18760548192162.0,1830.0,20.429,4984514516274.0,20714854.0,21310685.0,1.262,13662329.0,1.3636574547441e+26,5.441,0.6970000000000001,58.43,7868572.0,73.85600000000002,1
66.0,97.87,0.112,177736497,91.51,1.414,0.033,19239992594167.0,1642.0,20.543000000000006,4971573183259.0,20858949.0,21323007.0,1.283,13662329.0,1.67050175368e+26,3.822,0.637,36.716,5729696.0,52.931,1
69.751,97.252,0.1,175641034,89.73700000000002,1.409,0.0349,19673348295183.0,1573.0,20.535,4885677580885.0,20984034.0,21329168.0,1.331,13662329.0,2.6242358042972e+26,18.873,0.397,36.716,5729696.0,56.401,1
73.54899999999998,96.731,0.08900000000000001,163919396,88.306,1.402,0.0368,20060615295212.0,1785.0,20.592,4726827709155.0,21090109.0,21332249.0,1.376,13662329.0,2.5716618190431003e+26,31.532,0.682,36.716,5729696.0,74.17399999999998,1
72.494,96.198,0.077,138746603,86.88799999999998,1.392,0.0362,20401793594254.0,1654.0,20.6,4495023568066.0,21177173.0,21333789.0,1.42,13662329.0,2.4964780938213003e+26,30.014,0.7490000000000001,36.716,5729696.0,92.929,1
75.98899999999998,95.754,0.065,133485457,85.766,1.38,0.038,20696883192307.0,1892.0,20.575,4190265157621.0,21245228.0,21334559.0,1.444,13662329.0,2.5746138020706e+26,40.99100000000001,0.541,36.716,5729696.0,108.816,1
81.5,95.441,0.053,132687751,85.061,1.376,0.0407,21999440010213.0,1485.0,20.594,5112785038478.0,21930546.0,23720973.0,1.518,18434387.0,4.1137859373817004e+26,54.20399999999999,0.809,67.295,10501754.0,147.352,1
84.999,95.211,0.041,132492390,84.635,1.376,0.0425,23233030431109.0,1449.0,20.506,5812678641444.0,22558804.0,24941924.0,1.594,18489876.0,4.7142768712116e+26,60.721,0.7959999999999999,67.65,10557243.0,101.457,1
