size3mom,price3rsiUSD,mining_profitability3roc,activeaddresses30mom,size30rsi,hashrate14mom,mediantransactionvalue7rsiUSD,mining_profitability7std,median_transaction_fee3trxUSD,mediantransactionvalue14rocUSD,size30trx,price7varUSD,mediantransactionvalue14rsiUSD,size30std,sentinusdUSD,priceUSD,sentbyaddress30var,hashrate3std,hashrate90roc,hashrate7trx,price7momUSD,top100cap,confirmationtime3ema,mediantransactionvalue14smaUSD,confirmationtime30ema,mediantransactionvalueUSD,median_transaction_fee7rocUSD,difficulty14var,category
-35207.0,59.916,9.781,-14162,46.184,34540699577410.0,42.813,475.704,0.39,-9.328,0.026,1.021,47.684,41128.0,60948366.0,126.909,27540258,10424480138724.0,252.456,1.7519999999999998,-0.816,19.881,7.529,85.42200000000003,8.738,72.57,1.348,219784420357.0,0
-34979.0,24.151,-11.963,-17029,45.87300000000001,36926876898038.0,46.301,593.582,-0.051,37.124,0.001,1.479,49.32100000000001,43976.0,52993274.0,124.135,30215589,14129733183525.0,238.177,2.119,-4.615,19.884,7.3820000000000014,86.935,8.641,78.22,-3.584,212424161294.0,0
-20872.0,10.843,2.719,9861,46.417,45546564242745.0,51.846,593.444,-0.716,15.281,-0.026,5.016,51.941,46120.0,93272664.0,120.333,27637481,9426487440178.0,262.413,2.39,-8.022,19.797,7.0710000000000015,87.762,8.52,87.36200000000002,-6.25,195538861091.0,0
4927.0,9.504,-12.376,6482,46.773,47049401091768.0,57.43,603.701,-1.058,9.549,-0.054000000000000006,8.775,54.688,47622.0,78550020.0,119.685,26222580,2389560390368.0,271.075,2.54,-6.04,19.784,6.916,88.368,8.406,97.318,-4.8039999999999985,169128519748.0,1
26478.0,19.007,-17.869,-6543,48.695,50589816956171.0,47.565,1072.0,-1.023,-10.862,-0.08,10.107,49.972,47973.0,81273352.0,120.096,26322352,13410118494245.0,329.827,2.781,-6.334,19.869,7.371,87.654,8.369,82.056,-5.01,282910549394.0,0
17040.0,14.949000000000002,-26.497,-35853,48.26600000000001,51958417322899.0,45.598,1313.0,-0.904,-12.519,-0.104,9.364,48.993,48406.0,89470069.0,119.388,24531719,14801065856277.0,309.303,3.006,-7.856,19.817,7.6629999999999985,86.84899999999998,8.342,78.77199999999998,-6.174,1027492465585.0,0
25062.0,5.016,-27.347,-28671,49.482,29917802183125.0,57.931,1510.0,-1.17,-1.02,-0.124,12.265999999999998,54.791,48438.0,77533038.0,115.014,23630671,14877995440910.0,250.889,2.867,-11.409,19.816,8.304,86.77600000000002,8.381,98.733,-9.025,1572869896225.0,0
-24896.0,2.497,-4.746,-23683,46.308,36805592422610.0,45.44,1237.0,-1.6740000000000002,3.417,-0.147,16.377,48.606,49400.0,43627259.0,110.585,26226915,14156102744454.0,237.294,2.657,-16.323,19.852,8.13,86.96,8.354,77.985,-14.571,1982183726343.0,0
-9478.0,1.394,-18.18,-27741,47.521,36082426800952.0,42.217,1419.0,-2.258,-14.981,-0.16899999999999998,27.439,46.877,48934.0,71102092.0,105.935,29777829,8628404146910.0,249.86,2.46,-18.2,19.914,8.593,86.05799999999998,8.399,71.689,-14.661,2361555632462.0,0
-36119.0,1.1,-10.053,-19956,46.04,31086410728797.0,48.0,1186.0,-2.514,9.35,-0.193,39.079,49.479,49418.0,50593222.0,104.06,30410888,3700120523275.0,367.978,2.26,-16.273,19.909,8.435,86.54700000000003,8.391,80.152,-13.524,2619317032090.0,1
