activeaddresses30trx,mining_profitability90trx,priceUSD,price30varUSD,price30stdUSD,mining_profitability90sma,sentinusd90varUSD,top100cap14trx,top100cap90wma,price90rocUSD,hashrate14std,price30momUSD,difficulty90std,price90momUSD,top100cap30roc,mining_profitability3wma,difficulty7trx,top100cap30rsi,top100cap,price7momUSD,price7rsiUSD,top100cap14roc,price3trxUSD,top100cap14mom,mediantransactionvalueUSD,category
0.113,0.47,127.725,72.165,16.99,6033.0,8978849224300845.0,-0.019,20.045,343.935,11932008607218.0,-12.015,5006734.0,98.953,-2.359,5631.0,0.5329999999999999,46.11,19.901,14.909,82.92299999999999,-0.635,2.161,-0.127,75.408,0
0.087,0.465,128.75,67.865,16.476,6042.0,8986083240286384.0,-0.021,20.046,347.056,13342759011451.0,-4.194,5027426.0,99.95,-2.508,5456.0,0.608,46.322,19.908,15.845,83.926,-0.507,2.173,-0.101,84.322,0
0.062,0.46,128.355,69.483,16.671,6059.0,8933216210578744.0,-0.023,20.048,340.462,15491796508717.0,2.039,5040956.0,99.214,-0.946,5430.0,0.7090000000000001,48.541,19.976,15.155,81.767,-0.127,1.8,-0.025,73.29899999999998,0
0.039,0.455,125.725,70.53399999999998,16.797,6070.0,8873647296518627.0,-0.025,20.05,321.21,15954970605664.0,1.68,5047382.0,95.876,-1.024,5315.0,0.792,48.577,19.977,10.445,68.14699999999999,-0.223,1.073,-0.045,90.398,0
0.018000000000000002,0.45,126.43,66.944,16.364,6083.0,8805534279531005.0,-0.028,20.051,303.086,16414042938810.0,-4.13,5046732.0,95.064,-0.645,5322.0,0.841,47.06100000000001,19.927,9.745,69.72399999999999,-0.593,0.609,-0.119,99.887,0
0.0,0.445,127.245,59.442,15.42,6100.0,8770148619039408.0,-0.03,20.052,282.851,16784715462854.0,-7.22,5046336.0,94.008,-0.705,5435.0,0.853,47.706,19.946,8.548,71.618,-0.972,0.416,-0.196,91.552,0
-0.018000000000000002,0.44,126.424,60.659,15.577,6114.0,8719186356417410.0,-0.033,20.051,281.737,18812635858434.0,1.761,5057770.0,93.305,-1.381,5282.0,0.8340000000000001,45.625,19.878,1.819,66.71,-1.16,0.219,-0.233,104.966,0
-0.037000000000000005,0.435,126.909,64.368,16.046,6135.0,8660278498363472.0,-0.036000000000000004,20.05,290.993,20725730206659.0,15.859000000000002,5063269.0,94.45,-1.655,5550.0,0.7909999999999999,45.735,19.881,-0.816,68.212,-1.155,0.14,-0.232,72.57,0
-0.057,0.429,124.135,60.54,15.561,6144.0,8619627352096558.0,-0.038,20.05,272.185,25806566022388.0,21.441,5062853.0,90.782,-1.7080000000000002,5251.0,0.733,45.841,19.884,-4.615,52.434,-1.0659999999999998,-0.175,-0.214,78.22,0
-0.075,0.424,120.333,56.44300000000001,15.026,6160.0,8594656122185222.0,-0.042,20.047,228.541,26348500973855.0,15.293,5056521.0,83.706,-2.008,5216.0,0.665,43.227,19.797,-8.022,38.275,-1.554,-0.718,-0.312,87.36200000000002,0
-0.08900000000000001,0.418,119.685,56.24,14.999,6166.0,8607312342646152.0,-0.045,20.044,206.963,25272232957635.0,6.222,5044251.0,80.695,-1.938,5123.0,0.594,42.837,19.784,-6.04,36.325,-1.494,-0.999,-0.3,97.318,0
-0.101,0.413,120.096,55.893,14.952,6155.0,8587686009700909.0,-0.048,20.042,200.318,28712838343149.0,7.091,5074925.0,80.10600000000002,-1.128,4594.0,0.698,46.069,19.869,-6.334,38.636,-1.304,-0.947,-0.262,82.056,0
-0.113,0.406,119.388,54.287,14.736,6144.0,8532059545646022.0,-0.05,20.04,189.145,31397510413360.0,9.013,5205155.0,78.098,-1.394,4113.0,1.127,44.479,19.817,-7.856,36.008,-1.4680000000000002,-0.8340000000000001,-0.295,78.77199999999998,0
-0.125,0.4,115.014,52.303,14.464,6128.0,8478230421080723.0,-0.052000000000000005,20.037,166.48,30385477559398.0,5.42,5320497.0,71.85300000000002,-1.541,3814.0,1.596,44.449,19.816,-11.409,24.157,-1.6230000000000002,-1.115,-0.327,98.733,0
-0.14,0.393,110.585,51.088,14.295,6112.0,8499342929984790.0,-0.053,20.035,148.964,29381655111502.0,2.165,5421900.0,66.167,-1.4169999999999998,3800.0,1.968,45.805,19.852,-16.323,17.394000000000002,-0.249,-1.635,-0.05,77.985,0
-0.16,0.385,105.935,54.048,14.704,6093.0,8456251972196146.0,-0.052000000000000005,20.034,134.785,28927412060096.0,-4.604,5510136.0,60.815,-0.742,3467.0,2.196,48.125,19.914,-18.2,12.953,0.034,-2.231,0.006999999999999999,71.689,0
-0.181,0.378,104.06,59.32899999999999,15.405,6072.0,8481425039873048.0,-0.051,20.033,135.92,28629645801318.0,-8.443,5585826.0,59.951,-0.598,3362.0,2.285,47.929,19.909,-16.273,11.563,-0.336,-2.497,-0.067,80.152,0
-0.201,0.37,106.555,62.19300000000001,15.772,6057.0,8482953170053950.0,-0.049,20.031,149.042,24970541368365.0,-5.182,5649477.0,63.769,-0.64,3486.0,2.259,46.987,19.881,-13.13,24.187,-0.48,-2.028,-0.096,81.931,0
-0.222,0.361,108.05,64.186,16.023,6043.0,8467639594692232.0,-0.046,20.031,149.52100000000004,24284811747555.0,-4.191,5712936.0,64.747,-0.125,3629.0,2.152,50.47,19.976,-12.045,31.065,0.246,-1.274,0.049,87.854,0
-0.241,0.353,106.945,65.244,16.155,6029.0,8406649459010762.0,-0.041,20.031,145.309,23589258884094.0,-1.69,5772221.0,63.349,-0.252,3460.0,1.992,50.28,19.971,-12.443,28.811,0.124,-0.821,0.025,106.838,0
-0.256,0.344,102.855,66.782,16.344,6014.0,8433600217306090.0,-0.037000000000000005,20.032,132.922,20284665434845.0,-1.72,5821094.0,58.69600000000001,-0.241,3393.0,1.803,51.24,19.998,-12.159,21.938,0.605,-1.001,0.12,96.777,1
-0.275,0.336,100.25,72.793,17.064,5995.0,8429872191404690.0,-0.031,20.032,128.201,17716193549756.0,-6.75,5859814.0,56.319,-0.6859999999999999,3260.0,1.605,51.453,20.004,-10.335,18.635,0.619,-1.357,0.123,91.151,1
-0.297,0.326,100.355,80.415,17.935,5979.0,8477434169474296.0,-0.026,20.033,116.939,17965333817062.0,-10.136,5903692.0,54.095,-0.39,3215.0,1.445,52.495,20.032,-5.58,19.207,0.748,-1.389,0.149,56.682,1
-0.321,0.317,100.846,87.99799999999998,18.761,5951.0,8524427104773904.0,-0.02,20.034,96.268,19640661642552.0,-11.969,6126009.0,49.464,-0.34700000000000003,2754.0,1.669,52.897,20.043,-3.214,22.188,1.242,-1.137,0.246,65.66,0
-0.342,0.307,103.663,92.74,19.26,5903.0,8563627765193240.0,-0.014,20.035,79.49600000000002,18097525028197.0,-9.243,6324158.0,45.91,-0.275,2579.0,1.975,52.869,20.043,-2.893,37.615,1.307,-0.4920000000000001,0.259,82.565,0
-0.36,0.297,105.104,96.269,19.623,5861.0,8614377731736515.0,-0.008,20.036,64.253,20611808193722.0,-8.095,6500350.0,41.115,-0.163,2721.0,2.221,54.169,20.077,-2.946,44.217,1.045,0.121,0.208,75.327,0
-0.374,0.287,105.826,99.323,19.932,5816.0,8634615242650621.0,-0.003,20.037,60.978,20648074154255.0,-9.454,6656328.0,40.086,-0.069,2862.0,2.355,53.864,20.07,-1.119,47.466,1.276,0.496,0.253,64.72399999999999,0
-0.385,0.277,106.072,101.93,20.192,5775.0,8650472203258222.0,0.003,20.038,66.738,19872111563843.0,-10.613,6793486.0,42.456,-0.242,2943.0,2.377,54.369,20.083,3.217,48.654,1.347,0.618,0.267,97.501,0
