mining_profitability90trx,price30varUSD,activeaddresses30trx,sentinusd90stdUSD,top100cap14trx,mining_profitability90ema,difficulty14wma,transactionfees7trxUSD,top100cap30mom,top100cap90mom,mining_profitability7std,price3rsiUSD,top100cap14roc,category
0.006,137.378,-0.425,132658264,0.094,3656.0,24088642.0,-0.984,0.318,-0.196,304.367,92.362,0.5489999999999999,0
-0.005,133.23,-0.415,132369394,0.087,3613.0,24502961.0,-0.328,0.251,-0.105,303.891,93.406,0.161,0
-0.017,128.392,-0.406,89098717,0.081,3575.0,24871302.0,0.269,0.306,-0.077,307.802,67.96600000000001,0.434,0
-0.028,120.648,-0.396,85801431,0.078,3531.0,25193667.0,0.8590000000000001,0.621,0.24,288.634,37.462,1.556,1
-0.039,111.007,-0.388,85445163,0.075,3489.0,25470055.0,0.585,0.473,0.004,218.825,21.083,0.593,1
-0.051,99.449,-0.384,85719486,0.073,3449.0,25700467.0,0.214,0.448,-0.002,203.645,21.462,-0.122,1
-0.062,86.485,-0.383,83326291,0.071,3411.0,25884902.0,-0.121,0.445,0.01,203.673,22.353,-0.035,1
-0.073,75.568,-0.382,80105003,0.07,3365.0,26159203.0,-0.126,0.491,0.019,321.7870000000001,30.43,-0.256,1
-0.084,66.207,-0.378,66544474,0.067,3319.0,26921193.0,-0.51,0.399,0.16899999999999998,414.008,62.21100000000001,-0.588,1
-0.095,59.772,-0.3720000000000001,58483140,0.064,3280.0,27588691.0,-0.376,0.421,0.121,319.869,77.92699999999998,-0.349,1
-0.106,54.477,-0.364,56013805,0.061,3238.0,28161698.0,-0.106,0.476,0.086,340.055,87.486,-0.426,1
-0.117,48.716,-0.355,55758379,0.058,3199.0,28685661.0,-0.341,0.423,0.309,321.04,92.131,-0.15,1
-0.128,43.832,-0.35,56234129,0.055,3162.0,29161109.0,-0.042,0.41,0.31,298.742,71.408,0.376,1
-0.138,42.018,-0.349,43171701,0.052000000000000005,3122.0,29588041.0,-0.075,0.399,0.445,212.835,66.402,0.6990000000000001,1
-0.149,42.931,-0.345,41172631,0.05,3089.0,29966459.0,0.004,0.448,0.505,243.333,88.719,1.332,1
-0.159,44.667,-0.336,36130246,0.049,3056.0,30296362.0,0.535,0.478,0.469,208.166,93.055,1.683,1
-0.16899999999999998,49.67,-0.32,35684668,0.05,3022.0,30577749.0,1.46,0.5329999999999999,0.528,204.991,96.42,1.935,1
-0.18,54.377,-0.284,36502963,0.051,2987.0,30810622.0,1.789,0.414,0.436,183.702,93.539,0.005,1
-0.19,58.173,-0.247,36418047,0.052000000000000005,2957.0,30994979.0,1.349,0.413,0.472,193.91,82.324,0.607,0
-0.2,60.413,-0.217,36454489,0.053,2920.0,31515813.0,0.6859999999999999,0.249,0.422,257.997,77.778,0.383,0
-0.209,57.849,-0.192,36416340,0.052000000000000005,2886.0,32393748.0,0.364,0.16,0.493,249.808,50.169,0.299,0
-0.219,46.674,-0.16699999999999998,35680659,0.05,2850.0,33164732.0,-0.177,-0.015,0.431,264.345,68.658,-0.053,0
-0.229,39.36,-0.142,35438038,0.048,2818.0,33838468.0,-0.208,0.023,0.431,234.727,83.3,0.384,0
-0.238,35.0,-0.116,35466934,0.045,2784.0,34453767.0,-0.506,0.003,0.458,221.267,86.572,0.448,0
-0.248,27.518,-0.09,34899177,0.043,2754.0,35010630.0,-0.211,0.019,0.556,215.468,46.524,0.5529999999999999,1
-0.257,21.926,-0.069,34979440,0.041,2719.0,35509057.0,0.344,0.009000000000000001,0.555,131.935,25.368,0.527,1
-0.266,19.743,-0.053,35258857,0.037000000000000005,2689.0,35949047.0,0.217,-0.077,0.507,130.91,19.36,0.111,1
-0.276,18.934,-0.045,33842770,0.035,2658.0,36330602.0,0.4320000000000001,0.129,0.634,130.846,16.794,0.6509999999999999,1
-0.285,19.045,-0.022,33747555,0.036000000000000004,2626.0,36653720.0,-0.002,0.454,0.8490000000000001,139.239,46.36,1.351,1
-0.294,19.305,0.001,35549928,0.04,2593.0,37241010.0,-0.507,0.594,0.907,166.592,64.97800000000001,1.591,1
-0.303,20.048,0.024,37626781,0.044,2557.0,39213221.0,-0.278,0.557,0.737,272.379,79.916,0.654,1
-0.312,20.986,0.047,37341939,0.048,2523.0,40999211.0,0.778,0.509,0.682,268.142,84.682,0.617,1
-0.32,21.492,0.07200000000000001,37876142,0.051,2488.0,42598977.0,1.015,0.362,0.599,301.194,69.374,0.179,1
-0.329,21.256,0.09,37971659,0.05,2455.0,44012521.0,0.528,-0.1,0.466,251.524,73.77,-0.161,1
-0.338,19.519,0.1,37927303,0.046,2423.0,45267342.0,0.493,0.008,0.449,199.395,76.37,-0.149,1
-0.34700000000000003,17.727999999999994,0.111,38729449,0.042,2391.0,46394376.0,0.362,0.053,0.487,119.904,89.42299999999999,0.208,1
-0.355,16.748,0.125,39012208,0.036000000000000004,2361.0,47393624.0,-0.069,-0.09,0.306,62.73,96.891,-0.5820000000000001,1
-0.364,17.615,0.142,41051357,0.027000000000000003,2332.0,48265085.0,-0.532,-0.154,0.272,63.17,98.687,-1.021,1
-0.3720000000000001,19.911,0.16,40920301,0.018000000000000002,2305.0,49008760.0,-0.785,-0.08900000000000001,0.246,121.506,99.108,-1.114,1
-0.38,21.053,0.18,40794926,0.006999999999999999,2276.0,49624649.0,-0.835,-0.259,0.343,118.199,78.70100000000002,-1.649,1
-0.389,22.022,0.193,40603898,-0.004,2246.0,50820279.0,-0.974,-0.271,0.327,135.994,72.684,-1.3730000000000002,1
-0.397,24.23,0.201,40593213,-0.016,2214.0,53122020.0,-0.726,-0.224,0.276,202.067,83.706,-1.857,1
-0.405,26.012,0.21,40454885,-0.027000000000000003,2185.0,55153691.0,-0.201,-0.278,0.239,216.795,87.81,-3.137,1
-0.413,29.318,0.225,40504427,-0.037000000000000005,2156.0,56915293.0,0.191,-0.338,0.236,215.18,94.358,-3.769,1
-0.421,36.469,0.241,40652889,-0.047,2130.0,58429869.0,9.746,-0.404,0.242,206.37,96.971,-3.306,1
-0.429,43.804,0.254,63565547,-0.058,2102.0,59802162.0,10.747,-0.596,0.151,118.698,97.254,-3.672,1
-0.4370000000000001,54.0,0.271,63695617,-0.068,2077.0,61032172.0,8.953,-0.718,0.145,112.065,98.395,-3.3160000000000003,0
-0.444,67.676,0.289,63880584,-0.077,2053.0,62119898.0,6.516,-0.6629999999999999,0.118,138.017,99.157,-2.7310000000000003,0
-0.452,83.25,0.29600000000000004,64015819,-0.087,2028.0,63065342.0,4.046,-0.736,0.142,102.336,99.436,-3.013,0
-0.46,98.217,0.29600000000000004,64249914,-0.096,2004.0,63868503.0,2.753,-0.6940000000000001,0.119,89.78,99.522,-3.247,0
-0.467,109.629,0.293,64855118,-0.104,1982.0,64529380.0,1.405,-0.695,0.024,74.181,84.539,-2.662,0
-0.474,114.885,0.29100000000000004,65180064,-0.11,1952.0,67179266.0,0.031,-0.573,0.138,210.866,37.059,-2.105,1
-0.482,116.753,0.28600000000000003,65433627,-0.116,1925.0,70227737.0,-1.133,-0.723,0.018000000000000002,245.715,21.847,-2.7230000000000003,1
-0.489,116.561,0.28,65067531,-0.121,1898.0,72932182.0,-2.036,-0.764,-0.021,274.224,15.437,-2.042,1
-0.496,114.629,0.27,65064308,-0.126,1869.0,75292602.0,-2.833,-0.815,-0.11,283.487,15.357,-2.126,1
-0.504,111.201,0.253,65154219,-0.129,1843.0,77359534.0,-3.272,-0.7759999999999999,-0.101,264.625,41.832,-2.195,1
-0.511,106.541,0.237,65740259,-0.133,1820.0,79224723.0,-3.512,-0.862,-0.227,216.7,57.326,-2.78,1
-0.518,101.468,0.223,65638891,-0.13699999999999998,1795.0,80888170.0,-3.677,-0.97,-0.311,95.9,74.711,-2.469,1
-0.525,97.073,0.21,65755323,-0.141,1771.0,82349875.0,-3.779,-1.254,-0.355,99.503,83.26899999999998,-2.835,1
-0.532,93.482,0.199,65772204,-0.145,1748.0,83609837.0,-3.495,-1.371,-0.416,99.738,89.23899999999998,-2.234,0
-0.539,89.89200000000002,0.187,65305984,-0.14800000000000002,1726.0,84668056.0,-3.286,-1.33,-0.455,99.077,90.312,-2.379,0
-0.546,85.243,0.16899999999999998,65083861,-0.151,1704.0,85555965.0,-3.108,-1.256,-0.496,48.474,86.348,-2.327,0
-0.552,78.333,0.146,65231777,-0.154,1677.0,89634526.0,-2.804,-1.198,-0.53,162.264,76.013,-2.134,0
-0.5589999999999999,70.15899999999999,0.125,65186435,-0.156,1651.0,93266624.0,-1.6969999999999998,-1.113,-0.5920000000000001,201.517,77.693,-2.273,0
-0.5660000000000001,60.767,0.107,65075624,-0.158,1629.0,96452261.0,9.661,-1.108,-0.627,200.496,84.564,-2.231,0
-0.573,51.512,0.095,65226811,-0.159,1607.0,99191436.0,14.701,-1.149,-0.649,187.80900000000003,91.44,-2.676,0
-0.579,43.451,0.087,65387076,-0.159,1584.0,101636384.0,14.704,-0.884,-0.529,175.882,29.157,-1.412,1
-0.586,38.13,0.08199999999999999,64988454,-0.156,1561.0,103836613.0,10.792,-0.831,-0.494,154.015,18.015,-1.3969999999999998,1
-0.5920000000000001,34.1,0.075,64494157,-0.152,1539.0,105792123.0,6.734,-0.8420000000000001,-0.532,94.639,21.011,-1.298,1
