difficulty14trx,fee_to_rewardUSD,median_transaction_fee90rocUSD,median_transaction_feeUSD,mining_profitability14var,mining_profitability30trx,mining_profitability3wma,price30varUSD,price30wmaUSD,priceUSD,sentinusd90stdUSD,size90ema,top100cap90mom,transactionvalue90trxUSD,category
0.934,0.9670000000000001,166.48,0.0575,421739.0,-0.358,3814.0,52.303000000000004,120.71600000000001,115.014,184154614,159661.0,0.301,0.585,0
1.041,1.012,24.482,0.0553,481342.0,-0.379,3800.0,51.088,120.24600000000001,110.585,184383762,158852.0,0.43799999999999994,0.57,0
1.146,0.902,17.393,0.053,666058.0,-0.406,3467.0,54.048,119.47,105.935,183915763,158305.0,0.47200000000000003,0.556,0
1.24,0.789,135.92,0.052000000000000005,743355.0,-0.435,3362.0,59.32899999999999,118.583,104.06,184189305,157433.0,0.449,0.541,0
1.318,1.052,149.042,0.0533,759852.0,-0.465,3486.0,62.193000000000005,117.876,106.555,184205898,156679.0,0.4,0.527,0
1.3769999999999998,0.835,149.52100000000002,0.054000000000000006,738130.0,-0.494,3629.0,64.186,117.27600000000001,108.05,184039557,155569.0,0.485,0.513,0
1.416,0.875,123.008,0.0535,696135.0,-0.525,3460.0,65.244,116.61399999999999,106.945,183375565,154525.0,0.563,0.498,0
1.436,0.804,132.922,0.0514,671638.0,-0.557,3393.0,66.782,115.691,102.855,183669270,153999.0,0.5920000000000001,0.485,0
1.439,0.7609999999999999,128.201,0.0501,463508.0,-0.589,3260.0,72.793,114.604,100.25,183628671,152736.0,0.611,0.47100000000000003,0
1.433,0.675,116.939,0.0502,409271.0,-0.622,3215.0,80.415,113.539,100.355,184145966,151718.0,0.677,0.457,0
1.482,1.01,96.26799999999999,0.0504,362643.0,-0.6579999999999999,2754.0,87.99799999999999,112.527,100.846,184655648,151530.0,0.701,0.44299999999999995,0
1.557,1.071,79.49600000000001,0.0518,221291.0,-0.696,2579.0,92.74,111.72200000000001,103.663,185079742,151485.0,0.631,0.43,0
1.6380000000000001,1.091,64.253,0.0526,196040.0,-0.7340000000000001,2721.0,96.26899999999999,111.03,105.104,185627344,151677.0,0.695,0.41600000000000004,0
1.713,1.788,60.978,0.0529,182232.0,-0.77,2862.0,99.323,110.40299999999999,105.82600000000001,185845261,151823.0,0.71,0.40299999999999997,0
1.7730000000000001,1.0170000000000001,66.738,0.053,165635.0,-0.805,2943.0,101.93,109.811,106.072,186015829,151389.0,0.7390000000000001,0.39,0
1.814,1.252,60.06100000000001,0.0518,141726.0,-0.8390000000000001,2838.0,105.389,109.087,103.671,186356968,150647.0,0.6659999999999999,0.377,1
1.835,0.795,47.052,0.0508,163734.0,-0.8740000000000001,2661.0,106.70700000000001,108.26799999999999,101.679,187332659,149682.0,0.635,0.364,1
1.837,1.038,37.34,0.0492,171807.0,-0.9079999999999999,2563.0,106.773,107.29,98.478,187852730,149368.0,0.49,0.35200000000000004,1
1.82,0.857,22.729,0.0486,142213.0,-0.9420000000000001,2558.0,104.932,106.29700000000001,97.24700000000001,187223727,148897.0,0.36,0.33899999999999997,1
1.788,0.9209999999999999,14.283,0.049,102500.0,-0.9740000000000001,2565.0,100.711,105.42,98.0,187563148,148277.0,0.34299999999999997,0.327,1
1.743,0.7340000000000001,11.559000000000001,0.0483,91301.0,-1.005,2607.0,98.647,104.51700000000001,96.6,188118244,147818.0,0.222,0.315,1
1.686,1.129,5.474,0.0461,71332.0,-1.035,2496.0,97.984,103.397,92.242,188398079,147544.0,0.146,0.303,1
1.6340000000000001,0.5770000000000001,0.262,0.0446,65154.0,-1.065,2378.0,96.917,102.15799999999999,89.28299999999999,189005192,146625.0,0.299,0.29100000000000004,1
1.6,0.759,-5.159,0.0449,70740.0,-1.0959999999999999,2146.0,93.193,101.037,89.829,189775882,145437.0,0.185,0.28,1
1.575,0.613,-20.549,0.0428,86577.0,-1.127,2056.0,90.55799999999999,99.72200000000001,85.60799999999999,186968107,144731.0,0.187,0.26899999999999996,1
1.551,0.925,-30.665,0.0416,111717.0,-1.159,1971.0,91.27,98.34100000000001,83.204,183928538,144127.0,0.264,0.258,1
