difficulty90sma,fee_to_reward14stdUSD,mining_profitability90mom,mining_profitability90trx,price30varUSD,price90varUSD,priceUSD,top100cap90roc,category
217472689.0,2.224,-537.1030000000001,-0.902,7781.0,6410.0,453.251,3.8989999999999996,1
223680160.0,2.245,-616.377,-0.9059999999999999,10288.0,8002.0,550.5,4.584,1
229887630.0,2.258,-501.99300000000005,-0.91,13495.0,10010.0,601.887,5.13,1
236095101.0,1.925,-729.242,-0.9129999999999999,14494.0,11081.0,494.668,5.044,1
242302571.0,1.4069999999999998,-484.82,-0.917,17097.0,12961.0,599.545,5.452999999999999,1
248451081.0,0.69,-321.741,-0.92,21012.0,15530.0,675.1160000000001,9.126,0
254492555.0,0.535,-184.613,-0.9229999999999999,25916.0,18743.0,738.6389999999999,7.471,0
260534028.0,0.486,-278.402,-0.9259999999999999,29071.0,21446.0,702.545,7.607,0
266575502.0,0.267,-276.329,-0.9279999999999999,32106.0,24298.0,723.096,7.624,0
272616975.0,0.26899999999999996,-374.38300000000004,-0.9309999999999999,36342.0,27951.0,796.6439999999999,7.162000000000001,0
278658449.0,0.28300000000000003,-80.821,-0.9329999999999999,42573.0,32790.0,891.298,7.608,0
284699922.0,0.29,-157.769,-0.935,49146.0,38137.0,934.539,8.005,0
291018128.0,0.28,-274.775,-0.937,56079.0,44077.0,981.6669999999999,7.303,0
298147664.0,0.244,-94.09100000000001,-0.938,64092.0,51036.0,1052.0,7.207999999999999,0
305277200.0,0.24,-287.269,-0.9390000000000001,66331.0,55604.0,915.571,7.515,0
312406736.0,0.23199999999999998,-372.994,-0.94,67523.0,60048.0,917.898,7.3420000000000005,0
319358664.0,0.215,126.74,-0.941,69334.0,65314.0,984.654,7.08,0
326252834.0,0.213,-40.729,-0.9420000000000001,71510.0,71213.0,1037.0,7.69,0
333147003.0,0.191,28.105,-0.943,71471.0,76172.0,991.025,7.436,0
340041173.0,0.20600000000000002,120.906,-0.943,69088.0,79876.0,916.265,8.235,0
346935343.0,0.244,-191.84799999999998,-0.943,64413.0,81263.0,720.715,8.263,0
353829512.0,0.28300000000000003,-209.476,-0.9440000000000001,59964.0,82679.0,733.548,8.902999999999999,0
360723682.0,0.289,-142.24200000000002,-0.9440000000000001,56859.0,85272.0,856.334,8.931000000000001,0
368373712.0,0.29,-141.89,-0.9440000000000001,52702.0,88471.0,916.819,10.349,0
377500577.0,0.268,-238.245,-0.9440000000000001,47989.0,91167.0,887.697,11.446,0
386627442.0,0.249,-250.622,-0.943,42917.0,93334.0,853.6210000000001,11.83,0
395751687.0,0.239,-239.294,-0.943,38251.0,95551.0,870.1339999999999,12.235999999999999,0
404593046.0,0.256,15.375,-0.943,33796.0,97463.0,854.784,11.982999999999999,0
413434405.0,0.268,-70.688,-0.943,29100.0,99035.0,834.51,12.265999999999998,0
422275764.0,0.263,-164.87,-0.9420000000000001,24201.0,99934.0,774.416,12.228,0
431117123.0,0.267,-233.55900000000003,-0.9420000000000001,20550.0,99997.0,673.0010000000001,12.384,0
439958482.0,0.261,-256.47700000000003,-0.9420000000000001,20479.0,99414.0,554.5219999999999,11.674000000000001,1
448799842.0,0.249,-216.575,-0.941,20284.0,99019.0,615.988,11.613,0
457641201.0,0.249,-222.97299999999998,-0.941,17579.0,98804.0,663.529,11.56,0
468250800.0,0.107,-262.068,-0.941,17367.0,98279.0,614.2909999999999,12.085999999999999,0
480120740.0,0.099,-254.73,-0.941,17816.0,97783.0,634.818,11.657,0
491990681.0,0.096,-266.58299999999997,-0.941,18557.0,97294.0,650.085,11.792,0
503714219.0,0.095,-199.105,-0.94,18836.0,96845.0,670.7280000000001,12.186,0
515182041.0,0.07400000000000001,-83.553,-0.94,19256.0,96324.0,670.3939999999999,10.015,0
526649863.0,0.07,-104.24700000000001,-0.94,19481.0,96062.0,730.449,9.799,0
538117685.0,0.068,-112.73299999999999,-0.94,19379.0,95858.0,753.055,9.762,0
549585508.0,0.063,-123.82799999999999,-0.94,18976.0,95464.0,738.125,9.507,0
561053330.0,0.063,-83.645,-0.94,18008.0,94925.0,729.7589999999999,9.397,0
572521152.0,0.065,-107.26899999999999,-0.94,15724.0,94483.0,760.7189999999999,9.481,0
583988974.0,0.07400000000000001,-81.811,-0.94,15145.0,93829.0,756.6139999999999,8.267000000000001,0
595456796.0,0.084,-15.012,-0.94,14479.0,93125.0,771.1439999999999,5.999,0
609426268.0,0.106,-155.219,-0.94,12953.0,92438.0,779.773,6.167999999999999,0
623533626.0,0.10300000000000001,-143.701,-0.94,10487.0,91749.0,793.6289999999999,6.167000000000001,0
637470873.0,0.106,-50.032,-0.94,8857.0,91223.0,834.69,6.662000000000001,0
651128652.0,0.105,45.413999999999994,-0.94,8487.0,90898.0,877.685,6.43,0
664786431.0,0.201,11.005999999999998,-0.94,9847.0,91167.0,961.717,6.655,0
678444211.0,0.2,-16.82,-0.94,10580.0,90861.0,914.81,6.921,0
692101990.0,0.201,-37.798,-0.94,10534.0,89914.0,848.331,6.609,0
705759770.0,0.204,1.4240000000000002,-0.9390000000000001,10006.0,88850.0,849.84,6.117999999999999,0
719417549.0,0.204,-89.228,-0.9390000000000001,9720.0,87636.0,846.22,6.011,0
733075328.0,0.209,-2.9410000000000003,-0.9390000000000001,10066.0,86675.0,899.4760000000001,5.932,0
746733108.0,0.214,-25.871,-0.9390000000000001,10251.0,85561.0,893.878,6.05,0
763855142.0,0.213,-163.79399999999998,-0.9390000000000001,10157.0,84003.0,837.415,6.0520000000000005,0
781295507.0,0.213,-38.053000000000004,-0.9390000000000001,10206.0,82377.0,844.33,6.127000000000001,0
798204570.0,0.2,19.643,-0.9390000000000001,10484.0,80726.0,857.806,6.669,0
815113633.0,0.196,-64.863,-0.9390000000000001,10399.0,78980.0,854.1080000000001,6.558,0
832022697.0,0.19899999999999998,-97.12100000000001,-0.9390000000000001,8800.0,77064.0,822.71,6.763,0
848931760.0,0.19899999999999998,-29.947,-0.9390000000000001,7919.0,75138.0,836.905,6.827999999999999,0
865840823.0,0.2,-85.32700000000001,-0.9390000000000001,7443.0,73201.0,842.293,7.4270000000000005,0
882749887.0,0.105,-83.713,-0.9390000000000001,6533.0,71528.0,886.057,7.86,0
899658950.0,0.109,-144.735,-0.9390000000000001,5624.0,69732.0,863.039,7.9,0
916568013.0,0.109,-94.022,-0.9390000000000001,4752.0,67718.0,852.448,8.09,0
933477077.0,0.11,-103.006,-0.9390000000000001,3997.0,65360.0,837.8969999999999,2.553,0
950900388.0,0.107,14.440999999999999,-0.9390000000000001,3190.0,62832.0,808.1569999999999,3.355,0
970932823.0,0.099,-49.692,-0.9390000000000001,2852.0,60332.0,829.446,3.265,0
990965257.0,0.085,-45.131,-0.9390000000000001,2654.0,57945.0,861.16,3.489,0
1010997691.0,0.08199999999999999,-32.79,-0.9390000000000001,2334.0,55496.0,859.05,3.7439999999999998,0
1031030125.0,0.076,-104.273,-0.94,1980.0,52795.0,798.2130000000001,3.59,0
1051062560.0,0.07400000000000001,-76.676,-0.94,1761.0,50068.0,825.551,3.417,0
1071094994.0,0.07200000000000001,-59.723,-0.94,1533.0,47238.0,812.648,3.279,0
1091127428.0,0.065,-51.815,-0.94,1356.0,44360.0,824.5419999999999,3.361,0
