activeaddresses,activeaddresses7trx,confirmationtime,confirmationtime14wma,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,difficulty14var,fee_to_reward14emaUSD,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_rewardUSD,hashrate14trx,hashrate30mom,hashrate7std,median_transaction_feeUSD,mediantransactionvalue14momUSD,mediantransactionvalue14rocUSD,mediantransactionvalueUSD,price14rsiUSD,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap90rsi,transactions3var,transactions7var,transactionvalueUSD,category
117096,-0.758,10.141,9.062000000000001,8.824,9.529,9.415,9.283999999999999,2.11329341435019e+17,0.306,0.043,0.298,0.29,1.068,7668432023381216.0,8443196142013541.0,0.0439,-25.628,-30.235,59.135,39.565,1.041,41.18600000000001,-4.781000000000001,-1.0759999999999998,26.788,-0.376,-17.016,-3.727,34.484,439.48,202269.0,44983.0,28.388,223754.0,39.883,7077818.0,21175733.0,4454.0,0
156696,-0.912,9.536,9.146,8.895,9.533,9.639,9.389,2.37477230305616e+17,0.3,0.028999999999999998,0.289,0.262,1.038,9872637636439220.0,8247340204160872.0,0.0435,-26.840999999999998,-30.538,61.051,38.247,-2.219,40.696,-19.006,-4.19,20.156,-0.585,-16.397000000000002,-3.636,31.555999999999997,434.535,205464.0,20724.0,11.465,223985.0,39.975,11857382.0,23010124.0,3529.0,0
148135,-0.966,11.52,9.481,8.999,10.526,10.629000000000001,9.94,2.52966504165802e+17,0.317,0.149,0.325,0.43200000000000005,0.97,1013750633695152.0,9532324508398210.0,0.0432,-11.284,-13.443,72.65899999999999,37.483000000000004,-4.445,40.413000000000004,-16.847,-3.7560000000000002,16.646,-0.708,-4.1610000000000005,-0.955,29.875,431.727,234628.0,77902.0,35.241,224850.0,40.134,49774682.0,28673751.0,4084.0,0
168404,-0.757,7.422999999999999,9.24,8.927999999999999,8.974,9.141,9.394,2.57797163015553e+17,0.316,0.14300000000000002,0.321,0.309,0.929,1.95537058762078e+16,8963204430716610.0,0.0427,-13.669,-15.515999999999998,74.42399999999999,36.265,-6.962999999999999,39.965,-12.139000000000001,-2.762,11.822000000000001,-0.7959999999999999,-16.012999999999998,-3.612,27.232,427.341,239859.0,-1723.0,-0.78,224831.0,40.2,110099808.0,63226630.0,3738.0,1
161847,-0.516,9.057,9.235,8.912,9.016,8.923,9.292,2.51969206854885e+17,0.32,0.10400000000000001,0.326,0.34,0.9329999999999999,2.4965641714185e+16,1.12697278725211e+16,0.0435,18.279,28.651,82.079,40.021,-4.15,41.173,0.654,0.151,50.401,-0.516,-9.072000000000001,-2.042,38.577,435.189,254081.0,34206.0,16.293,225211.0,40.122,16298336.0,70748936.0,5144.0,1
166794,-0.242,8.623,9.169,8.842,8.818999999999999,8.567,9.133,2.35482635683783e+17,0.32,0.025,0.326,0.325,0.93,2.05310023542776e+16,1.10548554914533e+16,0.0441,-10.445,-12.445,73.486,42.602,-2.362,42.028,9.023,2.09,66.143,-0.10400000000000001,-12.790999999999999,-2.82,45.588,440.75,231493.0,-13887.0,-5.666,225057.0,40.57,13709326.0,72631178.0,8450.0,1
163287,-0.027000000000000003,8.471,9.092,8.826,8.645,8.619,8.921,2.08337449502261e+17,0.326,0.034,0.336,0.366,0.9329999999999999,1.99249452822267e+16,1.04188025221359e+16,0.0444,5.033,6.8870000000000005,78.10300000000001,44.058,-0.7240000000000001,42.513000000000005,16.53,3.8680000000000003,73.283,0.221,-4.702,-1.048,49.373000000000005,443.871,230782.0,30230.0,16.185,225393.0,40.481,2262475.0,69823899.0,8264.0,1
135616,-0.146,8.045,8.952,8.783999999999999,8.345,8.283,8.619,1.70533648310313e+17,0.313,0.11800000000000001,0.308,0.226,0.946,1.91251996368194e+16,1.09112419037052e+16,0.045,-15.712,-20.28,61.765,46.711999999999996,10.267999999999999,43.407,14.377,3.304,83.06,0.508,10.086,2.295,55.903,449.566,206291.0,-39757.0,-18.893,224951.0,40.538000000000004,29090633.0,63466893.0,5322.0,0
165515,-0.08800000000000001,9.474,9.011000000000001,8.816,8.908999999999999,8.83,8.749,1.22071232107954e+17,0.305,0.121,0.295,0.255,0.961,2.24233273487677e+16,1.05444558044624e+16,0.0443,-10.786,-16.386,55.038999999999994,43.943000000000005,9.722999999999999,42.563,1.795,0.40700000000000003,49.536,0.38,8.01,1.8430000000000002,47.155,442.545,201859.0,7347.0,3.49,225033.0,40.556999999999995,33271625.0,60344199.0,3707.0,0
154800,-0.069,8.78,8.964,8.811,8.845,8.889,8.708,7.5049537166508e+16,0.31,0.096,0.306,0.33899999999999997,0.9540000000000001,1.428794172763e+16,5243830601420930.0,0.0438,-17.315,-19.594,71.054,42.247,3.014,42.031000000000006,-5.742999999999999,-1.294,35.875,0.09300000000000001,6.402,1.483,42.298,438.129,215027.0,57259.0,28.737,225669.0,40.461,90553616.0,69905804.0,3210.0,0
