difficulty14roc,difficulty14sma,difficulty14trx,difficulty14wma,difficulty3ema,difficulty7ema,difficulty7trx,hashrate30trx,hashrate30wma,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalue30smaUSD,mediantransactionvalueUSD,mining_profitability30ema,mining_profitability30std,mining_profitability3sma,mining_profitability3wma,mining_profitability7sma,mining_profitability90ema,mining_profitability90sma,mining_profitability90std,mining_profitability90var,mining_profitability90wma,price14rsiUSD,price30varUSD,price7rsiUSD,priceUSD,size90trx,top100cap,top100cap30roc,top100cap90roc,top100cap90rsi,category
12.279000000000002,9509446.0,1.235,9765522.0,10065948.0,9914078.0,1.1740000000000002,1.247,73103776737232.0,-1.234,0.0565,90.631,64.307,6536.0,3959.0,5792.0,5759.0,5787.0,5821.0,5717.0,3895.0,3793160.0,6421.0,49.729,706.495,45.928999999999995,113.005,0.27899999999999997,20.096,1.3259999999999998,3.552,50.727,1
12.279000000000002,9588160.0,1.214,9841102.0,10071120.0,9954632.0,1.093,1.235,73991749965079.0,-0.787,0.0552,90.822,70.008,6474.0,3886.0,5762.0,5647.0,5669.0,5815.0,5745.0,3852.0,3709636.0,6418.0,48.443999999999996,690.4119999999999,43.034,110.375,0.27699999999999997,20.097,1.6740000000000002,3.7119999999999997,50.736999999999995,1
12.279000000000002,9666874.0,1.186,9906186.0,10073707.0,9985047.0,0.996,1.224,74917149344126.0,-0.649,0.0548,89.00299999999999,76.058,6402.0,3726.0,5460.0,5443.0,5528.0,5805.0,5767.0,3822.0,3651704.0,6409.0,48.047,620.663,42.114,109.595,0.27399999999999997,20.125999999999998,2.222,3.7689999999999997,50.99100000000001,1
12.279000000000002,9745588.0,1.153,9960775.0,10075000.0,10007858.0,0.892,1.214,75634851060754.0,-0.6709999999999999,0.0542,84.564,59.976000000000006,6340.0,2815.0,5455.0,5434.0,5541.0,5797.0,5789.0,3790.0,3590576.0,6402.0,47.417,405.733,40.592,108.42,0.272,20.137,2.145,3.931,51.085,1
12.279000000000002,9824302.0,1.114,10004869.0,10075646.0,10024967.0,0.7879999999999999,1.204,76353805049877.0,-0.382,0.0553,75.258,59.973,6303.0,1792.0,5522.0,5591.0,5644.0,5797.0,5815.0,3758.0,3531119.0,6402.0,48.723,259.572,44.793,110.54,0.27,20.063,1.5219999999999998,3.8,50.409,1
12.279000000000002,9903016.0,1.071,10038468.0,10075970.0,10037798.0,0.687,1.196,77297832716414.0,0.073,0.0563,72.96300000000001,46.253,6279.0,1765.0,5713.0,5793.0,5683.0,5800.0,5839.0,3733.0,3483286.0,6404.0,49.963,259.128,48.713,112.50299999999999,0.26899999999999996,20.028,-0.799,3.548,50.092,1
14.785,9997790.0,1.031,10091550.0,10188550.0,10103632.0,0.63,1.1909999999999998,78449070112982.0,12.857999999999999,0.11199999999999999,71.44,52.908,6209.0,1799.0,5632.0,5537.0,5531.0,5786.0,5857.0,3703.0,3428456.0,6390.0,49.461000000000006,247.201,47.18899999999999,111.738,0.267,20.009,-0.628,3.362,49.918,1
24.659000000000002,10155859.0,1.016,10250145.0,10687904.0,10374538.0,0.73,1.189,79802603217398.0,5.856,0.0561,71.29899999999999,66.581,6143.0,1823.0,5435.0,5310.0,5491.0,5773.0,5875.0,3675.0,3376029.0,6375.0,49.818000000000005,241.146,48.428000000000004,112.241,0.266,20.000999999999998,-0.6779999999999999,2.94,49.846000000000004,1
13.525,10251062.0,1.015,10387665.0,10937581.0,10577718.0,0.866,1.188,80785440127951.0,-0.10800000000000001,0.0543,71.578,56.878,6048.0,1891.0,5016.0,4928.0,5363.0,5749.0,5880.0,3667.0,3362092.0,6349.0,47.243,227.512,40.494,108.635,0.264,20.022000000000002,-0.631,3.0180000000000002,50.033,1
11.026,10330417.0,1.0190000000000001,10512491.0,11062419.0,10730103.0,0.98,1.182,81114893781867.0,-3.353,0.0523,71.33,61.821999999999996,5953.0,1963.0,4812.0,4714.0,5253.0,5723.0,5891.0,3645.0,3321548.0,6320.0,44.456,207.533,33.324,104.575,0.263,20.046,-1.663,3.227,50.261,1
