activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime90ema,difficulty14var,hashrate14mom,hashrate14trx,hashrate30roc,hashrate3std,hashrate7trx,hashrate90roc,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,mediantransactionvalue14rocUSD,mediantransactionvalue14rsiUSD,mediantransactionvalue14smaUSD,mediantransactionvalue7rsiUSD,mediantransactionvalueUSD,mining_profitability3roc,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,priceUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
-15852,9.818999999999999,10.003,9.818999999999999,1.12666354494053e+18,-3.26989425187053e+16,0.14300000000000002,-0.58,1.42186569298939e+16,0.034,12.975,0.428,3.1639999999999997,-12.748,52.613,50.567,57.82,59.588,-0.019,0.392,46.556000000000004,7.761,19.676,253.05900000000003,111901700,196936935.0,50.306999999999995,92961.0,0.038,53984.0,20.072,0
4811,9.929,10.762,9.856,1.40544797533222e+18,-6.46709821509889e+16,0.115,-7.876,2.47585586445035e+16,-0.102,15.66,-0.031,2.187,-4.957,51.522,50.355,55.308,56.799,-7.343,0.40700000000000003,27.579,5.318,9.826,248.46599999999998,118995019,224745760.0,52.49100000000001,94446.0,0.044000000000000004,84398.0,20.141,0
-746,9.987,10.794,9.877,1.60824696244876e+18,-1.35449362104152e+16,0.08800000000000001,2.138,2.37428055318725e+16,-0.185,11.534,-0.522,-1.868,-4.668,48.22,50.187,47.873999999999995,48.257,1.041,0.307,16.727999999999998,-4.637,18.340999999999998,243.593,117911323,213353897.0,51.693999999999996,96026.0,0.051,-29725.0,20.082,0
16921,9.954,10.134,9.869,1.73506050629173e+18,-5.05478354895162e+16,0.06,-13.068,1.61497813352364e+16,-0.251,16.054000000000002,-0.9940000000000001,-6.19,-18.137999999999998,48.358000000000004,49.418,48.18899999999999,48.586999999999996,-1.68,0.326,9.882,-15.697000000000001,41.501000000000005,237.873,127175770,238259889.0,49.551,96002.0,0.055999999999999994,-18664.0,20.104,0
24079,9.975,10.21,9.878,1.78588860685956e+18,-1459377205419776.0,0.049,10.216000000000001,2.20240174973098e+16,-0.183,21.393,-1.212,-6.646,-7.537999999999999,45.294,49.18,41.32899999999999,40.789,-5.343999999999999,0.33799999999999997,8.15,-16.795,62.007,235.894,131143864,145219473.0,50.117,92262.0,0.06,-70138.0,20.095,1
11633,10.058,10.73,9.908,1.76073126415408e+18,-6354021752138112.0,0.038,4.7589999999999995,2.14074677358736e+16,-0.147,7.303999999999999,-1.14,-7.454,18.135,47.052,49.669,45.715,44.583,-7.483,0.38,9.339,-19.008,64.78,235.993,139122336,111468876.0,49.407,92307.0,0.062,-67884.0,20.111,0
6769,10.004,9.98,9.892999999999999,1.65958847817318e+18,-3051415489660672.0,0.016,-0.243,2.71845396428115e+16,-0.195,20.735,-1.12,-9.86,-15.687000000000001,48.028,49.049,48.168,46.641999999999996,2.309,0.431,5.388,-25.406999999999996,49.303000000000004,232.263,149349996,211483070.0,50.878,92764.0,0.064,38730.0,20.137,0
-3281,9.982000000000001,9.822000000000001,9.888,1.48246024891767e+18,4.19551704451566e+16,0.03,18.989,5.19158437311349e+16,0.006,24.176,-1.617,-13.052999999999999,-11.927999999999999,52.055,48.513999999999996,57.622,55.352,-7.841,0.45399999999999996,1.7480000000000002,-33.033,69.297,220.02599999999998,143034677,215367990.0,50.253,91699.0,0.066,4127.0,20.173,1
-36173,10.1,10.812999999999999,9.93,1.22934657638937e+18,-4360113937797760.0,0.021,-3.925,6.12308481729139e+16,-0.027000000000000003,3.444,-1.709,-11.133,-24.489,48.771,47.394,49.178000000000004,48.324,-4.5969999999999995,0.501,7.694,-27.662,66.851,220.804,144531748,179033796.0,52.04600000000001,92968.0,0.07200000000000001,77070.0,20.253,1
-1955,10.121,10.624,9.941,9.00247460585669e+17,-8838596428619904.0,0.006,4.364,5.87862733465418e+16,-0.08800000000000001,2.385,-1.192,-7.002999999999999,12.565999999999999,54.549,47.88399999999999,61.497,61.478,-15.572000000000001,0.502,44.68899999999999,-17.058,47.681999999999995,226.535,144222960,256257841.0,49.115,93072.0,0.07400000000000001,-48904.0,20.250999999999998,0
-4709,10.206,11.026,9.974,4.95162901508653e+17,-4.57163101017837e+16,-0.023,-3.867,1.46200139425153e+16,-0.223,7.115,-0.8290000000000001,-5.747000000000001,41.076,56.06100000000001,49.24,64.352,65.202,5.18,0.419,35.906,-13.67,39.472,224.203,143806481,256372594.0,51.086999999999996,93737.0,0.077,26383.0,20.255,0
-5379,10.184,10.445,9.971,1.40928991562301e+16,-1.85207253769922e+16,-0.049,-3.0869999999999997,1.4667724607091e+16,-0.301,4.14,-0.6579999999999999,-5.693,20.147000000000002,46.623999999999995,49.769,43.221000000000004,44.148999999999994,15.883,0.43200000000000005,29.436999999999998,-13.429,31.112,222.465,142995317,171244994.0,49.213,90716.0,0.077,-80336.0,20.26,1
38903,10.167,10.187999999999999,9.971,2.15297714280202e+16,-9417359598257660.0,-0.06,8.49,2.75982944806925e+16,-0.251,2.164,-0.429,-5.063,82.837,51.341,51.562,52.876000000000005,55.409,-1.219,0.424,43.349,-11.948,14.620999999999999,224.044,150307733,224491470.0,49.20399999999999,90597.0,0.075,2616.0,20.256,0
-290,10.115,9.769,9.957,2.34394396706996e+17,4815618351356160.0,-0.061,4.5889999999999995,1.68962746297173e+16,-0.16399999999999998,27.724,-0.265,-3.64,37.229,54.674,52.805,59.137,64.105,11.222000000000001,0.27,41.52,-8.454,4.22,223.80900000000003,147206892,290685328.0,50.083999999999996,89337.0,0.073,-30409.0,20.262999999999998,1
-11636,10.068999999999999,9.59,9.945,4.12868636843704e+17,3.53849398092408e+16,-0.032,20.921,3.2715650108593e+16,0.09300000000000001,35.887,-0.038,2.7060000000000004,59.788999999999994,64.13600000000001,55.349,73.714,95.215,-7.95,0.235,63.08,5.955,3.286,225.98,143439069,282755258.0,49.678000000000004,89363.0,0.07,13100.0,20.267,1
8415,10.031,9.532,9.935,5.5695249183762e+17,2.60869018115126e+16,-0.009000000000000001,-0.218,3.48592808317499e+16,0.207,3.636,0.607,6.564,64.61,63.349,57.971000000000004,72.058,93.49700000000001,11.628,0.239,89.053,14.493,15.863,235.296,149499991,305551363.0,50.13,88761.0,0.068,25477.0,20.303,0
37765,10.097999999999999,10.305,9.96,6.66645961689793e+17,-3803319826071936.0,0.0,-12.005999999999998,4.17695400825658e+16,0.19,20.09,0.8490000000000001,3.452,108.666,65.271,61.716,74.822,100.695,-8.237,0.25,80.48100000000001,7.821000000000001,24.441999999999997,234.356,146470416,264385354.0,52.483000000000004,85174.0,0.069,65463.0,20.308,0
42271,10.196,10.959000000000001,9.996,7.41949046398648e+17,-3.90163532902319e+16,-0.027999999999999997,-23.127,4.37687370584037e+16,-0.063,11.261,0.6579999999999999,3.3,88.385,60.893,64.78399999999999,65.234,91.53,7.955,0.22399999999999998,56.56100000000001,7.399,24.885,231.602,141469416,287144069.0,53.727,87326.0,0.077,112200.0,20.333,0
47566,10.107999999999999,9.897,9.971,7.82861745965236e+17,-1.1273427415304e+16,-0.040999999999999995,-1.195,4.5201046960904e+16,-0.135,25.579,0.254,2.677,72.836,52.235,66.906,48.57,70.499,5.519,0.322,37.330999999999996,5.955,19.430999999999997,228.42,138411087,212411496.0,47.738,90236.0,0.078,-64570.0,20.342,0
34357,10.101,9.948,9.971,7.8938406038877e+17,1.85763829700501e+16,-0.037000000000000005,-6.444,5.63015723647672e+16,-0.064,31.653000000000002,-0.528,-2.3409999999999997,49.325,50.784,68.476,46.011,66.57300000000001,-3.722,0.359,14.687000000000001,-5.246,30.337,218.799,139350075,239119308.0,49.507,83278.0,0.078,-79092.0,20.339000000000002,1
4910,10.128,10.23,9.982999999999999,7.61515989670822e+17,-1443516694431488.0,-0.045,-9.947000000000001,2.90419937304578e+16,-0.10300000000000001,10.604000000000001,-0.784,-1.247,53.791000000000004,52.646,70.26899999999999,50.04600000000001,71.73100000000001,-4.188,0.361,29.491999999999997,-2.79,34.888000000000005,221.019,128155228,299561338.0,51.468,81450.0,0.08,-56895.0,20.374000000000002,1
-27807,10.081,9.821,9.97,6.99257533809295e+17,-3.59432326408165e+16,-0.042,1.0859999999999999,2.97379834246168e+16,-0.059000000000000004,10.950999999999999,-0.5,-0.179,25.484,51.717,71.27600000000001,48.193999999999996,69.458,-9.917,0.341,54.044,-0.40399999999999997,35.133,225.576,120563471,298561511.0,49.726000000000006,79580.0,0.08,57401.0,20.417,0
