activeaddresses90var,difficulty14ema,difficulty14wma,difficulty30ema,difficulty30sma,difficulty3ema,difficulty7ema,difficulty90ema,difficulty90rsi,fee_to_reward30wmaUSD,fee_to_reward90smaUSD,fee_to_reward90wmaUSD,median_transaction_feeUSD,mining_profitability,mining_profitability14std,mining_profitability14var,mining_profitability30std,mining_profitability90mom,mining_profitability90trx,priceUSD,sentbyaddress90std,top100cap30rsi,top100cap30trx,top100cap90roc,category
116677373,38049509.0,39213221.0,33792422.0,32976249.0,44704152.0,40965485.0,24623043.0,99.804,0.725,0.865,0.774,0.0481,946.112,296.212,21935.0,400.87300000000005,-4036.0,-0.303,96.29299999999999,15402.0,62.648999999999994,0.046,3.659,1
116083361,39750953.0,40999211.0,34890352.0,33797831.0,47757245.0,43426699.0,25198588.0,99.804,0.773,0.866,0.787,0.0485,989.582,322.295,25968.0,417.898,-4242.0,-0.312,96.95200000000001,15468.0,59.544,0.046,3.389,1
118658361,41225538.0,42598977.0,35917448.0,34619413.0,49283792.0,45272609.0,25761484.0,99.804,0.797,0.867,0.792,0.0483,954.078,294.942,21748.0,405.621,-4252.0,-0.32,96.54299999999999,15785.0,56.838,0.047,2.978,1
118939747,42503511.0,44012521.0,36878280.0,35440996.0,50047066.0,46657041.0,26312008.0,99.804,0.7879999999999999,0.86,0.7859999999999999,0.0484,994.908,313.41700000000003,24558.0,422.25300000000004,-3940.0,-0.32899999999999996,96.796,15756.0,52.302,0.047,2.3169999999999997,1
119759342,43611088.0,45267342.0,37777122.0,36262578.0,50428702.0,47695366.0,26850433.0,99.804,0.8009999999999999,0.856,0.7879999999999999,0.0485,986.18,317.733,25239.0,428.126,-3707.0,-0.33799999999999997,96.925,15808.0,52.155,0.047,2.231,1
118558078,44570988.0,46394376.0,38617975.0,37084160.0,50619521.0,48474109.0,27377024.0,99.804,0.8220000000000001,0.8540000000000001,0.7929999999999999,0.049,946.13,330.222,27262.0,433.625,-4685.0,-0.34700000000000003,97.99600000000001,16010.0,52.49100000000001,0.046,2.423,1
119700441,45402902.0,47393624.0,39404579.0,37905742.0,50714930.0,49058167.0,27892042.0,99.804,0.818,0.848,0.79,0.0506,1040.0,310.063,24035.0,414.495,-4171.0,-0.355,101.101,16170.0,48.678999999999995,0.045,1.52,1
119493038,46123894.0,48265085.0,40140435.0,38693363.0,50762634.0,49496210.0,28395741.0,99.804,0.81,0.841,0.7859999999999999,0.0526,1026.0,296.99,22051.0,424.343,-4758.0,-0.364,105.11,16203.0,47.25,0.044000000000000004,1.3530000000000002,1
119080199,46748753.0,49008760.0,40828816.0,39345143.0,50786487.0,49824742.0,28888370.0,99.804,0.8059999999999999,0.8370000000000001,0.7829999999999999,0.0536,1139.0,252.67700000000002,15961.0,427.11300000000006,-4449.0,-0.37200000000000005,107.292,16429.0,47.402,0.043,1.2229999999999999,1
121410625,47290298.0,49624649.0,41472785.0,39996922.0,50798413.0,50071141.0,29370171.0,99.804,0.8,0.8320000000000001,0.78,0.0531,967.278,253.59400000000002,16077.0,427.55699999999996,-4641.0,-0.38,106.115,16466.0,43.673,0.040999999999999995,1.722,1
